all_candidate_full_tokens,argument_semantic_correct,call_parse_valid,candidate_count,capability_choice_correct,catalog_size,condition,context_fit,disclosure_ratio_a,disclosure_ratio_total,enum_type_valid,execution_acceptance,execution_reason,full_schema_tokens_avoided,full_schemas_materialized,generated_name,generated_text,generated_tokens,generation_error,host_rejection,materialization_seconds,max_candidates,model_invocations,native_kv_bytes,phase_a_capability_tokens,phase_a_ttft_seconds,phase_b_capability_tokens,phase_b_ttft_seconds,phase_transition_overhead_seconds,policy,prompt_tokens,query_id,required_argument_coverage,retry_count,schema_valid_call,scoring_device,seed,selected_name,target_in_palette,target_name,task_success,total_capability_tokens,total_ttft_seconds,unsafe_exposure,unsafe_tool_choice,wall_clock_seconds,wrong_tool_choice,wrong_tool_execution_attempt
3208,0,1,10,0,512,C2_compact_to_full,1,0.4613466334164589,0.5639027431421446,1,1,executed,2879,1,get_ticket_00345,"<tool_call>\n{""name"": ""get_ticket_00345"", ""arguments"": {""issue_id"": ""u17""}}\n</tool_call>",43,,0,0.0029129001777619123,10,2,207470592,1480,4.589646900072694,329,0.4180485000833869,0.0027564000338315964,A1_fused,1798,get_user-h2-en-1,0,0,1,cuda,11,get_ticket_00345,1,get_user,0,1809,5.007695400156081,0,0,11.830982200335711,1,1
3208,1,1,10,1,512,C3_oracle_to_full,1,0.0807356608478803,0.0807356608478803,1,1,executed,3208,1,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",23,,0,0.00014919997192919254,10,1,29704192,259,0.37539950013160706,0,0.0,0.0,A1_fused,205,get_user-h2-en-1,1,0,1,cuda,11,get_user,1,get_user,1,259,0.37539950013160706,0,0,3.4800377001520246,0,0
1312,0,1,4,0,512,C0_full_all_one_pass,1,1.0022865853658536,1.0022865853658536,1,1,executed,1312,4,get_analysis_00016,"<tool_call>\n{""name"": ""get_analysis_00016"", ""arguments"": {""report_id"": ""u17""}}\n</tool_call>",29,,0,0.00013970001600682735,4,1,150814720,1315,1.6510139999445528,0,0.0,0.0,A2_raw_union,681,get_user-h2-en-1,0,0,1,cuda,11,get_analysis_00016,0,get_user,0,1315,1.6510139999445528,0,0,5.558923700125888,1,1
1312,0,0,4,0,512,C1_compact_only,1,0.4641768292682927,0.4641768292682927,1,0,malformed_call,1312,0,,"{""name"":""fetch_customer_00431,v1""}",15,,1,0.0001946999691426754,4,1,69844992,609,1.5883570997975767,0,0.0,0.0,A2_raw_union,672,get_user-h2-en-1,0,0,0,cuda,11,,0,get_user,0,609,1.5883570997975767,0,0,3.6737839998677373,0,0
1312,1,1,4,0,512,C2_compact_to_full,1,0.4641768292682927,0.7149390243902439,1,1,executed,983,1,fetch_customer_00431,"<tool_call>\n{""name"": ""fetch_customer_00431"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",43,,0,0.0014485998544842005,4,2,107577344,609,1.601233899826184,329,0.41457080002874136,0.0013005998916924,A2_raw_union,927,get_user-h2-en-1,1,0,1,cuda,11,fetch_customer_00431,0,get_user,0,938,2.0158046998549253,0,0,8.239735799841583,1,1
1312,1,1,4,1,512,C3_oracle_to_full,1,0.19740853658536586,0.19740853658536586,1,1,executed,1312,1,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",23,,0,0.00012080022133886814,4,1,29704192,259,0.6370779999997467,0,0.0,0.0,A2_raw_union,205,get_user-h2-en-1,1,0,1,cuda,11,get_user,0,get_user,1,259,0.6370779999997467,0,0,3.8912277002818882,0,0
2634,0,1,8,0,512,C0_full_all_one_pass,1,1.0026575550493546,1.0026575550493546,1,1,executed,2634,8,fetch_file_00066,"<tool_call>\n{""name"": ""fetch_file_00066"", ""arguments"": {""document_id"": ""u17""}}\n</tool_call>",29,,0,0.0004414999857544899,8,1,302891008,2641,3.3286733999848366,0,0.0,0.0,A2_raw_union,1250,get_user-h2-en-1,0,0,1,cuda,11,fetch_file_00066,0,get_user,0,2641,3.3286733999848366,0,0,8.163492099847645,1,1
2634,0,0,8,0,512,C1_compact_only,1,0.4643128321943812,0.4643128321943812,1,0,malformed_call,2634,0,,"{""name"":""fetch_customer_00431,v1""}",15,,1,0.0002142000012099743,8,1,140263424,1223,3.4793515000492334,0,0.0,0.0,A2_raw_union,1286,get_user-h2-en-1,0,0,0,cuda,11,,0,get_user,0,1223,3.4793515000492334,0,0,6.116040100110695,0,0
2634,1,1,8,0,512,C2_compact_to_full,1,0.4643128321943812,0.5892179195140471,1,1,executed,2305,1,fetch_customer_00431,"<tool_call>\n{""name"": ""fetch_customer_00431"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",43,,0,0.006207099882885814,8,2,177995776,1223,3.5338574000634253,329,0.43744380003772676,0.005939599825069308,A2_raw_union,1541,get_user-h2-en-1,1,0,1,cuda,11,fetch_customer_00431,0,get_user,0,1552,3.971301200101152,0,0,11.919921400025487,1,1
2634,1,1,8,1,512,C3_oracle_to_full,1,0.09832953682611997,0.09832953682611997,1,1,executed,2634,1,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",23,,0,0.00013950001448392868,8,1,29704192,259,0.5281118999700993,0,0.0,0.0,A2_raw_union,205,get_user-h2-en-1,1,0,1,cuda,11,get_user,0,get_user,1,259,0.5281118999700993,0,0,4.364407900022343,0,0
3293,0,1,10,0,512,C0_full_all_one_pass,1,1.0027330701488004,1.0027330701488004,1,1,executed,3293,10,fetch_file_00066,"<tool_call>\n{""name"": ""fetch_file_00066"", ""arguments"": {""document_id"": ""u17""}}\n</tool_call>",29,,0,0.0005264000501483679,10,1,378699776,3302,4.470088299829513,0,0.0,0.0,A2_raw_union,1535,get_user-h2-en-1,0,0,1,cuda,11,fetch_file_00066,0,get_user,0,3302,4.470088299829513,0,0,10.207976799923927,1,1
3293,0,0,10,0,512,C1_compact_only,1,0.46431825083510475,0.46431825083510475,1,0,malformed_call,3293,0,,"{""name"":""fetch_customer_00431,v1""}",15,,1,0.0002762000076472759,10,1,175357952,1529,4.760813700035214,0,0.0,0.0,A2_raw_union,1592,get_user-h2-en-1,0,0,0,cuda,11,,0,get_user,0,1529,4.760813700035214,0,0,7.665804699994624,0,0
3293,1,1,10,0,512,C2_compact_to_full,1,0.46431825083510475,0.5642271484968114,1,1,executed,2964,1,fetch_customer_00431,"<tool_call>\n{""name"": ""fetch_customer_00431"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",43,,0,0.0027355998754501343,10,2,213090304,1529,4.788269000127912,329,0.44039370003156364,0.002186099998652935,A2_raw_union,1847,get_user-h2-en-1,1,0,1,cuda,11,fetch_customer_00431,0,get_user,0,1858,5.228662700159475,0,0,13.007615100126714,1,1
3293,1,1,10,1,512,C3_oracle_to_full,1,0.07865168539325842,0.07865168539325842,1,1,executed,3293,1,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",23,,0,0.00012360000982880592,10,1,29704192,259,0.5790228999685496,0,0.0,0.0,A2_raw_union,205,get_user-h2-en-1,1,0,1,cuda,11,get_user,0,get_user,1,259,0.5790228999685496,0,0,4.62591310008429,0,0
1215,0,0,4,0,512,C0_full_all_one_pass,1,1.002469135802469,1.002469135802469,1,0,malformed_call,1215,4,,"The review cleared u17, but the stored state still blocks sign-in. To apply the correction, you need to update the stored state to reflect the current status. Please ensure that the stored state is updated to reflect the current status of the user account.",53,,1,0.0003276001662015915,4,1,139689984,1218,1.3253115999978036,0,0.0,0.0,A1_fused,620,update_user-h4-en-1,0,0,0,cuda,11,,1,update_user,0,1218,1.3253115999978036,0,0,10.95292040030472,0,0
1215,0,0,4,0,512,C1_compact_only,1,0.4345679012345679,0.4345679012345679,1,0,malformed_call,1215,0,,"{""name"":""update_user"",""arguments"":{""user_id"":""u17""}}",16,,1,0.0006266999989748001,4,1,60555264,528,1.3870739000849426,0,0.0,0.0,A1_fused,603,update_user-h4-en-1,0,0,0,cuda,11,,1,update_user,0,528,1.3870739000849426,0,0,4.0675980001688,0,0
1215,0,1,4,1,512,C2_compact_to_full,1,0.4345679012345679,0.6732510288065844,1,1,executed,925,1,update_user,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""u17"", ""status"": ""Stable""}}\n</tool_call>",38,,0,0.001818999880924821,4,2,93814784,528,1.3674081000499427,290,0.41045979992486537,0.0016747999470680952,A1_fused,846,update_user-h4-en-1,1,0,1,cuda,11,update_user,1,update_user,0,818,1.777867899974808,0,0,8.207580299582332,0,0
1215,0,1,4,1,512,C3_oracle_to_full,1,0.23868312757201646,0.23868312757201646,1,1,executed,1215,1,update_user,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""u17"", ""status"": ""Stable""}}\n</tool_call>",30,,0,9.059999138116837e-05,4,1,33259520,290,0.5472480000462383,0,0.0,0.0,A1_fused,243,update_user-h4-en-1,1,0,1,cuda,11,update_user,1,update_user,0,290,0.5472480000462383,0,0,5.74454339989461,0,0
2461,0,0,8,0,512,C0_full_all_one_pass,1,1.0028443722064202,1.0028443722064202,1,0,malformed_call,2461,8,,"The review cleared u17, but the stored state still blocks sign-in. To apply the correction, you need to update the stored state to reflect the current status. Please ensure that the stored state is updated to reflect the current status.",49,,1,0.0004032000433653593,8,1,283049984,2468,2.9561503999866545,0,0.0,0.0,A1_fused,1140,update_user-h4-en-1,0,0,0,cuda,11,,1,update_user,0,2468,2.9561503999866545,0,0,11.903516199905425,0,0
2461,0,0,8,0,512,C1_compact_only,1,0.44453474197480697,0.44453474197480697,1,0,malformed_call,2461,0,,"{""name"":""update_user"",""arguments"":{""user_id"":""u17""}}",16,,1,0.0008203999605029821,8,1,125468672,1094,3.146997299976647,0,0.0,0.0,A1_fused,1169,update_user-h4-en-1,0,0,0,cuda,11,,1,update_user,0,1094,3.146997299976647,0,0,6.0099390998948365,0,0
2461,0,0,8,0,512,C2_compact_to_full,1,0.44453474197480697,0.5794392523364486,1,0,malformed_call,2129,1,,"The stored state still blocks sign-in, so we need to erase user 00279's resource. Please provide the user ID to proceed.",46,,1,0.0026175000239163637,8,2,163545088,1094,3.1562673000153154,332,0.5601910001132637,0.0023988999892026186,A1_fused,1437,update_user-h4-en-1,0,0,0,cuda,11,erase_user_00279,1,update_user,0,1426,3.716458300128579,0,0,11.743416500044987,1,0
2461,0,1,8,1,512,C3_oracle_to_full,1,0.11783827712312069,0.11783827712312069,1,1,executed,2461,1,update_user,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""u17"", ""status"": ""Stable""}}\n</tool_call>",30,,0,0.0001751999370753765,8,1,33259520,290,0.5412294999696314,0,0.0,0.0,A1_fused,243,update_user-h4-en-1,1,0,1,cuda,11,update_user,1,update_user,0,290,0.5412294999696314,0,0,5.795488099800423,0,0
3120,0,0,10,0,512,C0_full_all_one_pass,1,1.0028846153846154,1.0028846153846154,1,0,malformed_call,3120,10,,"The review cleared u17, but the stored state still blocks sign-in. To apply the correction, you need to update the stored state to reflect the current status. Please ensure that the stored state is correctly updated to allow sign-in.",49,,1,0.000618599820882082,10,1,358858752,3129,4.055963100166991,0,0.0,0.0,A1_fused,1426,update_user-h4-en-1,0,0,0,cuda,11,,1,update_user,0,3129,4.055963100166991,0,0,13.701539699919522,0,0
3120,0,0,10,0,512,C1_compact_only,1,0.4493589743589744,0.4493589743589744,1,0,malformed_call,3120,0,,"{""name"":""update_user"",""arguments"":{""user_id"":""u17""}}",16,,1,0.0003388999029994011,10,1,160792576,1402,4.218295400030911,0,0.0,0.0,A1_fused,1477,update_user-h4-en-1,0,0,0,cuda,11,,1,update_user,0,1402,4.218295400030911,0,0,7.520996099803597,0,0
3120,0,0,10,0,512,C2_compact_to_full,1,0.4493589743589744,0.5557692307692308,1,0,malformed_call,2788,1,,"The stored state still blocks sign-in, so we need to erase user 00279's resource. Please provide the user ID to proceed.",46,,1,0.004107599845156074,10,2,198868992,1402,4.333348800195381,332,0.5611171999480575,0.0036786999553442,A1_fused,1745,update_user-h4-en-1,0,0,0,cuda,11,erase_user_00279,1,update_user,0,1734,4.894466000143439,0,0,13.110499300062656,1,0
3120,0,1,10,1,512,C3_oracle_to_full,1,0.09294871794871795,0.09294871794871795,1,1,executed,3120,1,update_user,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""u17"", ""status"": ""Stable""}}\n</tool_call>",30,,0,0.00017719995230436325,10,1,33259520,290,0.6105948998592794,0,0.0,0.0,A1_fused,243,update_user-h4-en-1,1,0,1,cuda,11,update_user,1,update_user,0,290,0.6105948998592794,0,0,5.921263099880889,0,0
1253,0,0,4,0,512,C0_full_all_one_pass,1,1.0023942537909019,1.0023942537909019,1,0,malformed_call,1253,4,,"The stored state still blocks sign-in, so we need to apply the correction. Please ensure the user has the necessary permissions and the stored state is updated.",32,,1,0.00033490010537207127,4,1,144048128,1256,1.5541585001628846,0,0.0,0.0,A2_raw_union,644,update_user-h4-en-1,0,0,0,cuda,11,,0,update_user,0,1256,1.5541585001628846,0,0,7.347191700246185,0,0
1253,0,0,4,0,512,C1_compact_only,1,0.4493216280925778,0.4493216280925778,1,0,malformed_call,1253,0,,"{""name"":""add_customer_00093""}",13,,1,0.0011915999930351973,4,1,64569344,563,1.3827221000101417,0,0.0,0.0,A2_raw_union,638,update_user-h4-en-1,0,0,0,cuda,11,,0,update_user,0,563,1.3827221000101417,0,0,3.637798999901861,0,0
1253,0,0,4,0,512,C2_compact_to_full,1,0.4493216280925778,0.7110933758978452,1,0,malformed_call,925,1,,"The stored state still blocks sign-in, so we need to apply the correction. Please provide the necessary information to resolve the issue.",41,,1,0.0033952996600419283,4,2,102187008,563,1.4029600999783725,328,0.5461328001692891,0.0031700998079031706,A2_raw_union,905,update_user-h4-en-1,0,0,0,cuda,11,add_customer_00093,0,update_user,0,891,1.9490929001476616,0,0,8.914472699631006,1,0
1253,0,1,4,1,512,C3_oracle_to_full,1,0.23144453312051078,0.23144453312051078,1,1,executed,1253,1,update_user,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""u17"", ""status"": ""Stable""}}\n</tool_call>",30,,0,0.00011939997784793377,4,1,33259520,290,0.6553323999978602,0,0.0,0.0,A2_raw_union,243,update_user-h4-en-1,1,0,1,cuda,11,update_user,0,update_user,0,290,0.6553323999978602,0,0,5.864742200123146,0,0
2576,0,0,8,0,512,C0_full_all_one_pass,1,1.002717391304348,1.002717391304348,1,0,malformed_call,2576,8,,"The stored state still blocks sign-in, so we need to apply the correction. Please check the system configuration to resolve the issue.",27,,1,0.0005709000397473574,8,1,296239104,2583,3.2584152999334037,0,0.0,0.0,A2_raw_union,1213,update_user-h4-en-1,0,0,0,cuda,11,,0,update_user,0,2583,3.2584152999334037,0,0,8.023914000019431,0,0
2576,0,0,8,0,512,C1_compact_only,1,0.4561335403726708,0.4561335403726708,1,0,malformed_call,2576,0,,"{""name"":""add_customer_00093""}",13,,1,0.0032919999212026596,8,1,134758400,1175,3.324355100048706,0,0.0,0.0,A2_raw_union,1250,update_user-h4-en-1,0,0,0,cuda,11,,0,update_user,0,1175,3.324355100048706,0,0,5.535373199963942,0,0
2576,0,0,8,0,512,C2_compact_to_full,1,0.4561335403726708,0.5834627329192547,1,0,malformed_call,2248,1,,"The stored state still blocks sign-in, so we need to apply the correction. Please provide the necessary information to resolve the issue.",41,,1,0.004458199720829725,8,2,172376064,1175,3.4398686999920756,328,0.5587157998234034,0.004132199799641967,A2_raw_union,1517,update_user-h4-en-1,0,0,0,cuda,11,add_customer_00093,0,update_user,0,1503,3.998584499815479,0,0,11.524369299644604,1,0
2576,0,1,8,1,512,C3_oracle_to_full,1,0.1125776397515528,0.1125776397515528,1,1,executed,2576,1,update_user,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""u17"", ""status"": ""Stable""}}\n</tool_call>",30,,0,0.00017070001922547817,8,1,33259520,290,0.6576051998417825,0,0.0,0.0,A2_raw_union,243,update_user-h4-en-1,1,0,1,cuda,11,update_user,0,update_user,0,290,0.6576051998417825,0,0,6.12986999982968,0,0
3234,0,0,10,0,512,C0_full_all_one_pass,1,1.00278293135436,1.00278293135436,1,0,malformed_call,3234,10,,"The review cleared u17, but the stored state still blocks sign-in. Please ensure that the necessary changes are made to resolve the issue.",30,,1,0.0008131999056786299,10,1,371933184,3243,4.354562900029123,0,0.0,0.0,A2_raw_union,1497,update_user-h4-en-1,0,0,0,cuda,11,,0,update_user,0,3243,4.354562900029123,0,0,10.171852299943566,0,0
3234,0,0,10,0,512,C1_compact_only,1,0.45732838589981445,0.45732838589981445,1,0,malformed_call,3234,0,,"{""name"":""add_customer_00093""}",13,,1,0.00045900000259280205,10,1,169623552,1479,4.649628099985421,0,0.0,0.0,A2_raw_union,1554,update_user-h4-en-1,0,0,0,cuda,11,,0,update_user,0,1479,4.649628099985421,0,0,7.291565499966964,0,0
3234,0,0,10,0,512,C2_compact_to_full,1,0.45732838589981445,0.5587507730364873,1,0,malformed_call,2906,1,,"The stored state still blocks sign-in, so we need to apply the correction. Please provide the necessary information to resolve the issue.",41,,1,0.0023849999997764826,10,2,207241216,1479,4.716837200103328,328,0.5626324000768363,0.002040599938482046,A2_raw_union,1821,update_user-h4-en-1,0,0,0,cuda,11,add_customer_00093,0,update_user,0,1807,5.279469600180164,0,0,12.958063200116158,1,0
3234,0,1,10,1,512,C3_oracle_to_full,1,0.08967223252937538,0.08967223252937538,1,1,executed,3234,1,update_user,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""u17"", ""status"": ""Stable""}}\n</tool_call>",30,,0,0.00016499985940754414,10,1,33259520,290,0.6187220001593232,0,0.0,0.0,A2_raw_union,243,update_user-h4-en-1,1,0,1,cuda,11,update_user,0,update_user,0,290,0.6187220001593232,0,0,5.865290399873629,0,0
1321,0,1,4,0,512,C0_full_all_one_pass,1,1.0022710068130205,1.0022710068130205,1,1,executed,1321,4,search_issue_00088,"<tool_call>\n{""name"": ""search_issue_00088"", ""arguments"": {""issue_id"": ""PRA Notes""}}\n</tool_call>",29,,0,0.00025029992684721947,4,1,151846912,1324,1.6474268001038581,0,0.0,0.0,A1_fused,688,search_document-h1-en-1,0,0,1,cuda,11,search_issue_00088,0,search_document,0,1324,1.6474268001038581,0,0,6.6697565000504255,1,1
1321,0,0,4,0,512,C1_compact_only,1,0.46782740348221047,0.46782740348221047,1,0,malformed_call,1321,0,,"{""name"":""search_issue_00088"", ""arguments"": {""request_note"": ""PRA Notes""}}",25,,1,0.00015899981372058392,4,1,70877184,618,1.6450765000190586,0,0.0,0.0,A1_fused,682,search_document-h1-en-1,0,0,0,cuda,11,,0,search_document,0,618,1.6450765000190586,0,0,5.827607199782506,0,0
1321,0,0,4,0,512,C2_compact_to_full,1,0.46782740348221047,0.46782740348221047,1,0,malformed_call,1321,1,,,9,,1,0.00020990008488297462,4,1,70877184,618,1.6603680001571774,0,0.0,0.0,A1_fused,682,search_document-h1-en-1,0,0,0,cuda,11,PRA Notes,0,search_document,0,618,1.6603680001571774,0,0,3.1358799000736326,1,0
1321,1,1,4,1,512,C3_oracle_to_full,1,0.19606358819076458,0.19606358819076458,1,1,executed,1321,1,search_document,"<tool_call>\n{""name"": ""search_document"", ""arguments"": {""title"": ""PRA Notes""}}\n</tool_call>",22,,0,0.0001254999078810215,4,1,29704192,259,0.6182311999145895,0,0.0,0.0,A1_fused,199,search_document-h1-en-1,1,0,1,cuda,11,search_document,0,search_document,1,259,0.6182311999145895,0,0,4.466099999845028,0,0
2495,1,1,8,1,512,C0_full_all_one_pass,1,1.0028056112224448,1.0028056112224448,1,1,executed,2495,8,search_document,"<tool_call>\n{""name"": ""search_document"", ""arguments"": {""title"": ""PRA Notes""}}\n</tool_call>",22,,0,0.0006182999350130558,8,1,286949376,2502,3.0139396998565644,0,0.0,0.0,A1_fused,1136,search_document-h1-en-1,1,0,1,cuda,11,search_document,1,search_document,1,2502,3.0139396998565644,0,0,7.210881599923596,0,0
2495,0,0,8,0,512,C1_compact_only,1,0.4496993987975952,0.4496993987975952,1,0,malformed_call,2495,0,,"{""name"":""search_issue_00088"", ""arguments"": {""request_note"":""PRA Notes""}}",24,,1,0.00025489996187388897,8,1,128679936,1122,3.2262263998854905,0,0.0,0.0,A1_fused,1186,search_document-h1-en-1,0,0,0,cuda,11,,1,search_document,0,1122,3.2262263998854905,0,0,7.549577199853957,0,0
2495,0,1,8,0,512,C2_compact_to_full,1,0.4496993987975952,0.5503006012024048,1,1,executed,2244,1,search_repository,"<tool_call>\n{""name"": ""search_repository"", ""arguments"": {""name"": ""PRA Notes""}}\n</tool_call>",30,,0,0.0020284003112465143,8,2,157466624,1122,3.203914900077507,251,0.40025579999201,0.0017203001771122217,A1_fused,1379,search_document-h1-en-1,0,0,1,cuda,11,search_repository,1,search_document,0,1373,3.604170700069517,0,0,8.673836700385436,1,1
2495,1,1,8,1,512,C3_oracle_to_full,1,0.10380761523046092,0.10380761523046092,1,1,executed,2495,1,search_document,"<tool_call>\n{""name"": ""search_document"", ""arguments"": {""title"": ""PRA Notes""}}\n</tool_call>",22,,0,0.0003551999107003212,8,1,29704192,259,0.5065242000855505,0,0.0,0.0,A1_fused,199,search_document-h1-en-1,1,0,1,cuda,11,search_document,1,search_document,1,259,0.5065242000855505,0,0,4.496324500069022,0,0
3168,1,1,10,1,512,C0_full_all_one_pass,1,1.0028409090909092,1.0028409090909092,1,1,executed,3168,10,search_document,"<tool_call>\n{""name"": ""search_document"", ""arguments"": {""title"": ""PRA Notes""}}\n</tool_call>",22,,0,0.0002671999391168356,10,1,364363776,3177,4.0883270998019725,0,0.0,0.0,A1_fused,1427,search_document-h1-en-1,1,0,1,cuda,11,search_document,1,search_document,1,3177,4.0883270998019725,0,0,8.335747899953276,0,0
3168,0,0,10,0,512,C1_compact_only,1,0.45422979797979796,0.45422979797979796,1,0,malformed_call,3168,0,,"{""name"":""search_issue_00088"", ""arguments"": {""request_note"":""PRA Notes""}}",24,,1,0.00028609996661543846,10,1,165036032,1439,4.362060699844733,0,0.0,0.0,A1_fused,1503,search_document-h1-en-1,0,0,0,cuda,11,,1,search_document,0,1439,4.362060699844733,0,0,9.31345809996128,0,0
