candidate_names,capability_choice_correct,condition,constraint_violation,family,generated_text,generated_tokens,instruction_following_success,materialization_seconds,max_candidates,model_invocations,native_kv_bytes,phase_a_capability_tokens,phase_a_selected_name,phase_a_ttft_seconds,phase_b_capability_tokens,phase_b_ttft_seconds,phase_transition_overhead_seconds,prompt_tokens,query_id,required_skill_recall_at_k,selected_name,target_name,task_success,total_capability_tokens,total_ttft_seconds,wall_clock_seconds,wrong_skill_use,context_fit,generation_error
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review,0,S2_selection_to_full,0,engineering_intake,"SKILL_APPLIED: security_review  \nDecision: The ticket requires review of the security design to ensure it addresses potential threats and vulnerabilities.  \nEvidence:  \n- Assets identified: User interface, authentication system, data storage.  \n- Actors: Developers, security team.  \n- Trust boundaries: Access to internal systems and external services.  \n- Entry points: Authentication, data transmission.  \n- Abuse paths: Unauthorized access, data breaches.  \n- Mitigations: Multi-factor authentication, encryption.  \n- Detection: Monitoring tools.  \n- Residual risk:",120,0,0.004291300196200609,6,2,123404288,604,security_review,1.5304918000474572,472,1.173776499927044,0.0032601000275462866,1208,github_issue_triage-test,1,security_review,github_issue_triage,0,1076,2.704268299974501,19.58203300018795,1,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review,1,S3_oracle_full,0,engineering_intake,"SKILL_APPLIED: github_issue_triage  \nDecision: The ticket is a defect requiring developer attention. Evidence: The ticket includes a detailed description of the issue, reproducibility test results, and a clear cause. Next action: Review the issue with the relevant developer to address the defect.",60,1,0.00017190002836287022,6,1,54476800,475,,1.140021099941805,0,0.0,0.0,538,github_issue_triage-test,1,github_issue_triage,github_issue_triage,1,475,1.140021099941805,9.369479200104252,0,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review|release_checklist|dependency_audit,0,S0_full_all,0,engineering_intake,"SKILL_APPLIED: github_pr_review  \nDecision: The proposed code change is reviewed for correctness, risk, and maintainability.  \nEvidence: The code change addresses a critical bug in the database query logic.  \nNext action: Implement the fix and update documentation.  \n\nSKILL_APPLIED: github_issue_triage  \nDecision: The issue related to the user interface is prioritized based on impact and evidence.  \nEvidence: The issue is reproducible and affects multiple users.  \nNext action: Assign the issue to a developer for resolution.  \n\nSKILL_AP",112,1,0.0013774000108242035,8,1,430424064,3753,,39.301086200168356,0,0.0,0.0,3816,github_issue_triage-test,1,github_pr_review,github_issue_triage,0,3753,39.301086200168356,84.34772990015335,1,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review|release_checklist|dependency_audit,0,S1_selection_only,0,engineering_intake,"The incoming tickets should be reviewed for developer attention based on their impact, risk, and maintainability. The reports that require developer attention now are those that have a high risk of failure or require further testing.",42,0,0.0002957999240607023,8,1,91750400,800,,1.9523867999669164,0,0.0,0.0,863,github_issue_triage-test,1,,github_issue_triage,0,800,1.9523867999669164,7.975667599821463,0,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review|release_checklist|dependency_audit,0,S2_selection_to_full,0,engineering_intake,"SKILL_APPLIED: security_review  \nDecision: The ticket requires review of the security design to ensure it addresses potential threats and vulnerabilities.  \nEvidence:  \n- Assets identified: User interface, authentication system, data storage.  \n- Actors: Developers, security team.  \n- Trust boundaries: Access to internal systems and external services.  \n- Entry points: Authentication, data transmission.  \n- Abuse paths: Unauthorized access, data breaches.  \n- Mitigations: Multi-factor authentication, encryption.  \n- Detection: Monitoring tools.  \n- Residual risk:",120,0,0.0047803998459130526,8,2,145883136,800,security_review,1.988666399847716,472,1.1609962999355048,0.004466200014576316,1404,github_issue_triage-test,1,security_review,github_issue_triage,0,1272,3.149662699783221,19.983765999786556,1,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review|release_checklist|dependency_audit,1,S3_oracle_full,0,engineering_intake,"SKILL_APPLIED: github_issue_triage  \nDecision: The ticket is a defect requiring developer attention. Evidence: The ticket includes a detailed description of the issue, reproducibility test results, and a clear cause. Next action: Review the issue with the relevant developer to address the defect.",60,1,0.00016080006025731564,8,1,54476800,475,,1.149463899899274,0,0.0,0.0,538,github_issue_triage-test,1,github_issue_triage,github_issue_triage,1,475,1.149463899899274,9.58234960003756,0,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review|release_checklist|dependency_audit|research_summary|privacy_assessment|performance_diagnosis|document_review|incident_triage|prompt_eval_design|literature_screening|decision_record|migration_planning|data_quality_review|model_eval_review|onboarding_plan|bug_reproduction|experiment_analysis|postmortem_writing|customer_escalation|customer_support_reply,0,S0_full_all,0,engineering_intake,,0,0,0.0018742999527603388,25,1,1342078976,11702,,0.0,0,0.0,0.0,11765,github_issue_triage-test,1,,github_issue_triage,0,11702,0.0,0.0018742999527603388,0,0,prompt_exceeds_runtime_limit
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review|release_checklist|dependency_audit|research_summary|privacy_assessment|performance_diagnosis|document_review|incident_triage|prompt_eval_design|literature_screening|decision_record|migration_planning|data_quality_review|model_eval_review|onboarding_plan|bug_reproduction|experiment_analysis|postmortem_writing|customer_escalation|customer_support_reply,0,S1_selection_only,0,engineering_intake,"The incoming tickets should be reviewed for developer attention by identifying which reports require immediate attention based on their impact, risk, and maintainability. The appropriate skills to apply are:\n\n1. **github_pr_review** for reviewing code changes.\n2. **github_issue_triage** for prioritizing issues.\n3. **accessibility_review** for evaluating user interfaces.\n\nAfter reviewing the tickets, the reports that require developer attention would be those that need immediate attention for correctness, risk, or maintainability.",99,0,0.000758300069719553,25,1,289816576,2527,,10.398391699884087,0,0.0,0.0,2590,github_issue_triage-test,1,,github_issue_triage,0,2527,10.398391699884087,39.32039270014502,0,1,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review|release_checklist|dependency_audit|research_summary|privacy_assessment|performance_diagnosis|document_review|incident_triage|prompt_eval_design|literature_screening|decision_record|migration_planning|data_quality_review|model_eval_review|onboarding_plan|bug_reproduction|experiment_analysis|postmortem_writing|customer_escalation|customer_support_reply,0,S2_selection_to_full,0,engineering_intake,,7,0,0.0007713998202234507,25,1,289816576,2527,review,10.08148209983483,0,0.0,0.0,2596,github_issue_triage-test,1,,github_issue_triage,0,2527,10.08148209983483,11.858185699675232,1,1,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review|release_checklist|dependency_audit|research_summary|privacy_assessment|performance_diagnosis|document_review|incident_triage|prompt_eval_design|literature_screening|decision_record|migration_planning|data_quality_review|model_eval_review|onboarding_plan|bug_reproduction|experiment_analysis|postmortem_writing|customer_escalation|customer_support_reply,1,S3_oracle_full,0,engineering_intake,"SKILL_APPLIED: github_issue_triage  \nDecision: The ticket is a defect requiring developer attention. Evidence: The ticket includes a detailed description of the issue, reproducibility test results, and a clear cause. Next action: Review the issue with the relevant developer to address the defect.",60,1,0.0001509999856352806,25,1,54476800,475,,1.1587911997921765,0,0.0,0.0,538,github_issue_triage-test,1,github_issue_triage,github_issue_triage,1,475,1.1587911997921765,9.52793229976669,0,1,
github_pr_review|data_quality_review,1,S0_full_all,0,engineering_review,"SKILL_APPLIED: github_pr_review  \nDecision: The code change appears to be well-documented and follows best practices for maintaining and updating code. No significant regressions or unsafe assumptions were identified.  \nEvidence: The code change includes clear documentation, proper testing, and follows the guidelines for code review.  \nNext action: No further action is required.",72,1,0.0003124999348074198,2,1,104939520,915,,2.288541000103578,0,0.0,0.0,980,github_pr_review-test,1,github_pr_review,github_pr_review,1,915,2.288541000103578,12.86828549997881,0,1,
github_pr_review|data_quality_review,0,S1_selection_only,0,engineering_review,"The request is to check the submitted code change for regressions, unsafe assumptions, and missing tests. The available skill that best fits this request is `github_pr_review`.",35,0,0.00012900005094707012,2,1,22937600,200,,0.5522348000667989,0,0.0,0.0,265,github_pr_review-test,1,,github_pr_review,0,200,0.5522348000667989,5.38428290002048,0,1,
github_pr_review|data_quality_review,0,S2_selection_to_full,0,engineering_review,,9,0,0.0001721999142318964,2,1,22937600,200,review_code_change,0.5433839000761509,0,0.0,0.0,271,github_pr_review-test,1,,github_pr_review,0,200,0.5433839000761509,1.4951015999540687,1,1,
github_pr_review|data_quality_review,1,S3_oracle_full,0,engineering_review,SKILL_APPLIED: github_pr_review  \nDecision: The code change introduces a new feature that may cause unintended side effects and requires additional testing.  \nEvidence: The proposed feature was tested in a controlled environment and did not introduce any security vulnerabilities.  \nNext action: Implement additional security checks and conduct a thorough code review.,65,1,0.00024119997397065163,2,1,52183040,455,,1.1154223999474198,0,0.0,0.0,520,github_pr_review-test,1,github_pr_review,github_pr_review,1,455,1.1154223999474198,10.063558300025761,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review,1,S0_full_all,0,engineering_review,"SKILL_APPLIED: github_pr_review  \nDecision: The code change appears to be well-documented and follows the review criteria. No regressions, unsafe assumptions, or missing tests were identified.  \nEvidence: The code change includes clear documentation, proper testing, and a logical flow.  \nNext action: No further action is required.",68,1,0.0007193000055849552,4,1,213434368,1861,,6.158741099992767,0,0.0,0.0,1926,github_pr_review-test,1,github_pr_review,github_pr_review,1,1861,6.158741099992767,22.063909200020134,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review,0,S1_selection_only,0,engineering_review,"The request is to check the submitted code change for regressions, unsafe assumptions, and missing tests. The available skill that best fits this request is **github_pr_review**.",36,0,0.000278000021353364,4,1,45760512,399,,0.9542582000140101,0,0.0,0.0,464,github_pr_review-test,1,,github_pr_review,0,399,0.9542582000140101,5.830044999951497,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review,0,S2_selection_to_full,0,engineering_review,"SKILL_APPLIED: model_eval_review  \nDecision: The model's task construction and splits appear to be well-defined, with contamination and baselines considered. The metrics and uncertainty are evaluated, and subgroup behavior is reviewed. No unsupported claims were identified.  \nEvidence: The model's performance metrics support deployment and comparison claims.  \nNext action: No further actions are required.",84,1,0.003089300123974681,4,2,100810752,399,model_eval_review,0.9147527001332492,480,1.1549545000307262,0.0028967999387532473,1015,github_pr_review-test,1,model_eval_review,github_pr_review,0,879,2.0697072001639754,13.592298600357026,1,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review,1,S3_oracle_full,0,engineering_review,SKILL_APPLIED: github_pr_review  \nDecision: The code change introduces a new feature that may cause unintended side effects and requires additional testing.  \nEvidence: The proposed feature was tested in a controlled environment and did not introduce any security vulnerabilities.  \nNext action: Implement additional security checks and conduct a thorough code review.,65,1,0.0005632000975310802,4,1,52183040,455,,1.1222145000938326,0,0.0,0.0,520,github_pr_review-test,1,github_pr_review,github_pr_review,1,455,1.1222145000938326,10.070374200120568,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage,1,S0_full_all,0,engineering_review,"SKILL_APPLIED: github_pr_review  \nDecision: The code change has been reviewed for correctness, risk, and maintainability. No blocking findings are present.  \nEvidence: The code change was tested for potential regressions and security risks.  \nNext action: Implement the changes as per the review.",61,1,0.0004906998947262764,6,1,322502656,2812,,12.316598899895325,0,0.0,0.0,2877,github_pr_review-test,1,github_pr_review,github_pr_review,1,2812,12.316598899895325,31.66555229993537,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage,0,S1_selection_only,0,engineering_review,"The request is to check the submitted code change for regressions, unsafe assumptions, and missing tests. The appropriate skill to apply here is **github_pr_review**.",34,0,0.00014709983952343464,6,1,69156864,603,,1.4704168001189828,0,0.0,0.0,668,github_pr_review-test,1,,github_pr_review,0,603,1.4704168001189828,6.26816609990783,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage,0,S2_selection_to_full,0,engineering_review,"SKILL_APPLIED: model_eval_review  \nDecision: The model's task construction and splits appear to be well-defined, with contamination and baselines considered. The metrics and uncertainty are evaluated, and subgroup behavior is reviewed. No unsupported claims were identified.  \nEvidence: The model's performance metrics support deployment and comparison claims.  \nNext action: No further actions are required.",84,1,0.00277039990760386,6,2,124207104,603,model_eval_review,1.7101441000122577,480,1.139940599910915,0.0025726999156177044,1219,github_pr_review-test,1,model_eval_review,github_pr_review,0,1083,2.8500846999231726,13.89434769959189,1,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage,1,S3_oracle_full,0,engineering_review,SKILL_APPLIED: github_pr_review  \nDecision: The code change introduces a new feature that may cause unintended side effects and requires additional testing.  \nEvidence: The proposed feature was tested in a controlled environment and did not introduce any security vulnerabilities.  \nNext action: Implement additional security checks and conduct a thorough code review.,65,1,0.00013239984400570393,6,1,52183040,455,,1.1233884000685066,0,0.0,0.0,520,github_pr_review-test,1,github_pr_review,github_pr_review,1,455,1.1233884000685066,9.723403699696064,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage|security_review|api_design_review,1,S0_full_all,0,engineering_review,"SKILL_APPLIED: github_pr_review  \nDecision: The code change has been reviewed for correctness, security, and maintainability. No blocking findings were identified.  \nEvidence: The code change does not introduce any unsafe assumptions or regressions.  \nNext action: Continue with the review process.",59,1,0.0009755000937730074,8,1,431685632,3764,,32.274832899915054,0,0.0,0.0,3829,github_pr_review-test,1,github_pr_review,github_pr_review,1,3764,32.274832899915054,55.78799710003659,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage|security_review|api_design_review,0,S1_selection_only,0,engineering_review,"The request is to check the submitted code change for regressions, unsafe assumptions, and missing tests. The appropriate skill to apply here is **github_pr_review**.",34,0,0.0003380000125616789,8,1,92209152,804,,1.9656832998152822,0,0.0,0.0,869,github_pr_review-test,1,,github_pr_review,0,804,1.9656832998152822,6.7228082998190075,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage|security_review|api_design_review,0,S2_selection_to_full,0,engineering_review,"SKILL_APPLIED: model_eval_review  \nDecision: The model's task construction and splits appear to be well-defined, with contamination and baselines considered. The metrics and uncertainty are evaluated, and subgroup behavior is reviewed. No unsupported claims were identified.  \nEvidence: The model's performance metrics support deployment and comparison claims.  \nNext action: No further actions are required.",84,1,0.002921700244769454,8,2,147259392,804,model_eval_review,1.9962072998750955,480,1.1663159001618624,0.0026740001048892736,1420,github_pr_review-test,1,model_eval_review,github_pr_review,0,1284,3.162523200036958,14.326023800065741,1,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage|security_review|api_design_review,1,S3_oracle_full,0,engineering_review,SKILL_APPLIED: github_pr_review  \nDecision: The code change introduces a new feature that may cause unintended side effects and requires additional testing.  \nEvidence: The proposed feature was tested in a controlled environment and did not introduce any security vulnerabilities.  \nNext action: Implement additional security checks and conduct a thorough code review.,65,1,0.00022879987955093384,8,1,52183040,455,,1.1402761999052018,0,0.0,0.0,520,github_pr_review-test,1,github_pr_review,github_pr_review,1,455,1.1402761999052018,9.820203199749812,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage|security_review|api_design_review|performance_diagnosis|document_review|privacy_assessment|accessibility_review|bug_reproduction|literature_screening|customer_support_reply|postmortem_writing|experiment_analysis|prompt_eval_design|research_summary|customer_escalation|incident_triage|decision_record|migration_planning|meeting_summary|onboarding_plan,0,S0_full_all,0,engineering_review,,0,0,0.0027891001664102077,25,1,1342078976,11702,,0.0,0,0.0,0.0,11767,github_pr_review-test,1,,github_pr_review,0,11702,0.0,0.0027891001664102077,0,0,prompt_exceeds_runtime_limit
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage|security_review|api_design_review|performance_diagnosis|document_review|privacy_assessment|accessibility_review|bug_reproduction|literature_screening|customer_support_reply|postmortem_writing|experiment_analysis|prompt_eval_design|research_summary|customer_escalation|incident_triage|decision_record|migration_planning|meeting_summary|onboarding_plan,0,S1_selection_only,0,engineering_review,"The request is to check the submitted code change for regressions, unsafe assumptions, and missing tests. The appropriate skill to apply here is **github_pr_review**.",34,0,0.0008886000141501427,25,1,289816576,2527,,10.312853400129825,0,0.0,0.0,2592,github_pr_review-test,1,,github_pr_review,0,2527,10.312853400129825,20.040212400024757,0,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage|security_review|api_design_review|performance_diagnosis|document_review|privacy_assessment|accessibility_review|bug_reproduction|literature_screening|customer_support_reply|postmortem_writing|experiment_analysis|prompt_eval_design|research_summary|customer_escalation|incident_triage|decision_record|migration_planning|meeting_summary|onboarding_plan,0,S2_selection_to_full,0,engineering_review,"SKILL_APPLIED: model_eval_review  \nDecision: The model's task construction and splits appear to be well-defined, with contamination and baselines considered. The metrics and uncertainty are evaluated, and subgroup behavior is reviewed. No unsupported claims were identified.  \nEvidence: The model's performance metrics support deployment and comparison claims.  \nNext action: No further actions are required.",84,1,0.00335750007070601,25,2,344866816,2527,model_eval_review,10.350224899826571,480,1.1836741000879556,0.002728500170633197,3143,github_pr_review-test,1,model_eval_review,github_pr_review,0,3007,11.533898999914527,24.16854300000705,1,1,
github_pr_review|data_quality_review|dependency_audit|model_eval_review|release_checklist|github_issue_triage|security_review|api_design_review|performance_diagnosis|document_review|privacy_assessment|accessibility_review|bug_reproduction|literature_screening|customer_support_reply|postmortem_writing|experiment_analysis|prompt_eval_design|research_summary|customer_escalation|incident_triage|decision_record|migration_planning|meeting_summary|onboarding_plan,1,S3_oracle_full,0,engineering_review,SKILL_APPLIED: github_pr_review  \nDecision: The code change introduces a new feature that may cause unintended side effects and requires additional testing.  \nEvidence: The proposed feature was tested in a controlled environment and did not introduce any security vulnerabilities.  \nNext action: Implement additional security checks and conduct a thorough code review.,65,1,0.00011879997327923775,25,1,52183040,455,,1.1480918999295682,0,0.0,0.0,520,github_pr_review-test,1,github_pr_review,github_pr_review,1,455,1.1480918999295682,10.106613300042227,0,1,
incident_triage|security_review,1,S0_full_all,0,operations,"SKILL_APPLIED: incident_triage  \nDecision: The alert indicates a potential system failure with a high impact on critical services.  \nEvidence: The system has experienced a sudden drop in performance, affecting user access.  \nNext action: Implement immediate containment measures to stabilize the system.",57,1,0.00029239989817142487,2,1,107462656,937,,2.3601966998539865,0,0.0,0.0,1004,incident_triage-test,1,incident_triage,incident_triage,1,937,2.3601966998539865,10.853396699763834,0,1,
incident_triage|security_review,0,S1_selection_only,0,operations,The alert is an incident and the first to stabilize is the service that requires immediate attention.,19,0,0.00020169978961348534,2,1,22708224,198,,0.5607362000737339,0,0.0,0.0,265,incident_triage-test,1,,incident_triage,0,198,0.5607362000737339,2.9102681998629123,0,1,
incident_triage|security_review,1,S2_selection_to_full,0,operations,"SKILL_APPLIED: incident_triage  \nDecision: The alert indicates a system failure with a high impact on customer service.  \nEvidence: The system has been down for over 15 minutes, affecting 100+ users.  \nNext action: Containment: Restart the affected service. Owner: IT Support Team.",76,1,0.003185400040820241,2,2,75923456,198,incident_triage,0.5498337000608444,464,1.1382253000047058,0.0029643001034855843,802,incident_triage-test,1,incident_triage,incident_triage,1,662,1.6880590000655502,11.777108200127259,0,1,
incident_triage|security_review,1,S3_oracle_full,0,operations,"SKILL_APPLIED: incident_triage  \nDecision: The alert indicates a system failure with a high impact on customer service.  \nEvidence: The system has been down for over 15 minutes, affecting 100+ users.  \nNext action: Containment: Restart the affected service. Owner: IT Support Team.",67,1,0.0001308999489992857,2,1,53215232,464,,1.1377008000854403,0,0.0,0.0,531,incident_triage-test,1,incident_triage,incident_triage,1,464,1.1377008000854403,10.126010699896142,0,1,
incident_triage|security_review|customer_escalation|postmortem_writing,1,S0_full_all,0,operations,"SKILL_APPLIED: incident_triage  \nDecision: The alert indicates a service issue with a high impact on critical systems.  \nEvidence: The system is experiencing unexpected downtime, affecting user access and business operations.  \nNext action: Implement immediate containment measures to stabilize the system.",56,1,0.00028769997879862785,4,1,216301568,1886,,6.305169500177726,0,0.0,0.0,1953,incident_triage-test,1,incident_triage,incident_triage,1,1886,6.305169500177726,19.71027040015906,0,1,
incident_triage|security_review|customer_escalation|postmortem_writing,0,S1_selection_only,0,operations,The alert is an incident and the first to stabilize is the service that is experiencing the most immediate degradation.,22,0,0.0001938999630510807,4,1,47595520,415,,0.9721246000844985,0,0.0,0.0,482,incident_triage-test,1,,incident_triage,0,415,0.9721246000844985,3.8317587000783533,0,1,
incident_triage|security_review|customer_escalation|postmortem_writing,1,S2_selection_to_full,0,operations,"SKILL_APPLIED: incident_triage  \nDecision: The alert indicates a system failure with a high impact on customer service.  \nEvidence: The system has been down for over 15 minutes, affecting 100+ users.  \nNext action: Containment: Restart the affected service. Owner: IT Support Team.",76,1,0.0034761999268084764,4,2,100810752,415,incident_triage,0.980045200092718,464,1.1632783999666572,0.0032603999134153128,1019,incident_triage-test,1,incident_triage,incident_triage,1,879,2.143323600059375,12.498750500148162,0,1,
incident_triage|security_review|customer_escalation|postmortem_writing,1,S3_oracle_full,0,operations,"SKILL_APPLIED: incident_triage  \nDecision: The alert indicates a system failure with a high impact on customer service.  \nEvidence: The system has been down for over 15 minutes, affecting 100+ users.  \nNext action: Containment: Restart the affected service. Owner: IT Support Team.",67,1,0.0006218000780791044,4,1,53215232,464,,1.151027400046587,0,0.0,0.0,531,incident_triage-test,1,incident_triage,incident_triage,1,464,1.151027400046587,10.056216299999505,0,1,
incident_triage|security_review|customer_escalation|postmortem_writing|github_issue_triage|github_pr_review,1,S0_full_all,0,operations,SKILL_APPLIED: incident_triage  \nDecision: The alert indicates a service issue with a high impact on critical systems.  \nEvidence: The alert specifies a service outage affecting user access and business operations.  \nNext action: Implement immediate containment measures to stabilize the affected system.,56,1,0.0006956998258829117,6,1,323190784,2818,,19.44360960018821,0,0.0,0.0,2885,incident_triage-test,1,incident_triage,incident_triage,1,2818,19.44360960018821,37.244889499852434,0,1,
incident_triage|security_review|customer_escalation|postmortem_writing|github_issue_triage|github_pr_review,0,S1_selection_only,0,operations,The alert is an incident and should be stabilized first. The most appropriate action is to prioritize the incident based on its impact and the urgency of the issue.,32,0,0.0002749999985098839,6,1,71221248,621,,1.5208185000810772,0,0.0,0.0,688,incident_triage-test,1,,incident_triage,0,621,1.5208185000810772,5.852778400061652,0,1,
