query_id,split,hardness_level,language,condition,required_tool,top_tool,rank,top1,recall_at_3,recall_at_5
validate_user-h5-pt-1,test,H5,pt,manual_lexical,validate_user,delete_user,2,0,1,1
validate_user-h5-es-0,validation,H5,es,manual_lexical,validate_user,read_document,7,0,0,0
validate_user-h5-es-1,test,H5,es,manual_lexical,validate_user,search_repository,12,0,0,0
validate_user-h5-fr-0,validation,H5,fr,manual_lexical,validate_user,update_user,2,0,1,1
validate_user-h5-fr-1,test,H5,fr,manual_lexical,validate_user,get_repository,12,0,0,0
update_user-h0-en-0,audit,H0,en,manual_lexical,update_user,update_user,1,1,1,1
update_user-h0-en-1,test,H0,en,manual_lexical,update_user,update_user,1,1,1,1
update_user-h0-en-2,validation,H0,en,manual_lexical,update_user,update_user,1,1,1,1
update_user-h1-en-0,validation,H1,en,manual_lexical,update_user,delete_user,4,0,0,1
update_user-h1-en-1,test,H1,en,manual_lexical,update_user,notify_user,5,0,0,1
update_user-h2-en-0,validation,H2,en,manual_lexical,update_user,purge_archive,4,0,0,1
update_user-h2-en-1,test,H2,en,manual_lexical,update_user,export_document,4,0,0,1
update_user-h3-en-0,validation,H3,en,manual_lexical,update_user,validate_user,2,0,1,1
update_user-h3-en-1,test,H3,en,manual_lexical,update_user,read_document,7,0,0,0
update_user-h4-en-0,validation,H4,en,manual_lexical,update_user,get_user,4,0,0,1
update_user-h4-en-1,test,H4,en,manual_lexical,update_user,update_user,1,1,1,1
update_user-h5-pt-0,validation,H5,pt,manual_lexical,update_user,create_issue,7,0,0,0
update_user-h5-pt-1,test,H5,pt,manual_lexical,update_user,extract_metadata,10,0,0,0
update_user-h5-es-0,validation,H5,es,manual_lexical,update_user,read_document,15,0,0,0
update_user-h5-es-1,test,H5,es,manual_lexical,update_user,purge_archive,8,0,0,0
update_user-h5-fr-0,validation,H5,fr,manual_lexical,update_user,archive_report,8,0,0,0
update_user-h5-fr-1,test,H5,fr,manual_lexical,update_user,extract_metadata,6,0,0,0
notify_user-h0-en-0,audit,H0,en,manual_lexical,notify_user,notify_user,1,1,1,1
notify_user-h0-en-1,test,H0,en,manual_lexical,notify_user,notify_user,1,1,1,1
notify_user-h0-en-2,validation,H0,en,manual_lexical,notify_user,notify_user,1,1,1,1
notify_user-h1-en-0,validation,H1,en,manual_lexical,notify_user,validate_user,6,0,0,0
notify_user-h1-en-1,test,H1,en,manual_lexical,notify_user,notify_user,1,1,1,1
notify_user-h2-en-0,validation,H2,en,manual_lexical,notify_user,notify_user,1,1,1,1
notify_user-h2-en-1,test,H2,en,manual_lexical,notify_user,update_user,14,0,0,0
notify_user-h3-en-0,validation,H3,en,manual_lexical,notify_user,notify_user,1,1,1,1
notify_user-h3-en-1,test,H3,en,manual_lexical,notify_user,update_user,15,0,0,0
notify_user-h4-en-0,validation,H4,en,manual_lexical,notify_user,read_document,16,0,0,0
notify_user-h4-en-1,test,H4,en,manual_lexical,notify_user,update_user,5,0,0,1
notify_user-h5-pt-0,validation,H5,pt,manual_lexical,notify_user,create_issue,16,0,0,0
notify_user-h5-pt-1,test,H5,pt,manual_lexical,notify_user,validate_user,2,0,1,1
notify_user-h5-es-0,validation,H5,es,manual_lexical,notify_user,export_document,13,0,0,0
notify_user-h5-es-1,test,H5,es,manual_lexical,notify_user,export_document,4,0,0,1
notify_user-h5-fr-0,validation,H5,fr,manual_lexical,notify_user,read_document,14,0,0,0
notify_user-h5-fr-1,test,H5,fr,manual_lexical,notify_user,notify_user,1,1,1,1
delete_user-h0-en-0,audit,H0,en,manual_lexical,delete_user,delete_user,1,1,1,1
delete_user-h0-en-1,test,H0,en,manual_lexical,delete_user,delete_user,1,1,1,1
delete_user-h0-en-2,validation,H0,en,manual_lexical,delete_user,get_user,2,0,1,1
delete_user-h1-en-0,validation,H1,en,manual_lexical,delete_user,delete_user,1,1,1,1
delete_user-h1-en-1,test,H1,en,manual_lexical,delete_user,delete_user,1,1,1,1
delete_user-h2-en-0,validation,H2,en,manual_lexical,delete_user,update_document,2,0,1,1
delete_user-h2-en-1,test,H2,en,manual_lexical,delete_user,update_user,6,0,0,0
delete_user-h3-en-0,validation,H3,en,manual_lexical,delete_user,read_document,6,0,0,0
delete_user-h3-en-1,test,H3,en,manual_lexical,delete_user,archive_report,9,0,0,0
delete_user-h4-en-0,validation,H4,en,manual_lexical,delete_user,read_document,18,0,0,0
delete_user-h4-en-1,test,H4,en,manual_lexical,delete_user,export_document,4,0,0,1
delete_user-h5-pt-0,validation,H5,pt,manual_lexical,delete_user,export_document,6,0,0,0
delete_user-h5-pt-1,test,H5,pt,manual_lexical,delete_user,validate_user,13,0,0,0
delete_user-h5-es-0,validation,H5,es,manual_lexical,delete_user,read_document,3,0,1,1
delete_user-h5-es-1,test,H5,es,manual_lexical,delete_user,validate_user,15,0,0,0
delete_user-h5-fr-0,validation,H5,fr,manual_lexical,delete_user,update_document,3,0,1,1
delete_user-h5-fr-1,test,H5,fr,manual_lexical,delete_user,create_report,9,0,0,0
search_document-h0-en-0,audit,H0,en,manual_lexical,search_document,search_document,1,1,1,1
search_document-h0-en-1,test,H0,en,manual_lexical,search_document,search_document,1,1,1,1
search_document-h0-en-2,validation,H0,en,manual_lexical,search_document,search_document,1,1,1,1
search_document-h1-en-0,validation,H1,en,manual_lexical,search_document,update_document,2,0,1,1
search_document-h1-en-1,test,H1,en,manual_lexical,search_document,update_user,9,0,0,0
search_document-h2-en-0,validation,H2,en,manual_lexical,search_document,create_report,8,0,0,0
search_document-h2-en-1,test,H2,en,manual_lexical,search_document,extract_metadata,5,0,0,1
search_document-h3-en-0,validation,H3,en,manual_lexical,search_document,update_document,2,0,1,1
search_document-h3-en-1,test,H3,en,manual_lexical,search_document,update_user,5,0,0,1
search_document-h4-en-0,validation,H4,en,manual_lexical,search_document,search_document,1,1,1,1
search_document-h4-en-1,test,H4,en,manual_lexical,search_document,search_repository,2,0,1,1
search_document-h5-pt-0,validation,H5,pt,manual_lexical,search_document,read_document,3,0,1,1
search_document-h5-pt-1,test,H5,pt,manual_lexical,search_document,search_repository,16,0,0,0
search_document-h5-es-0,validation,H5,es,manual_lexical,search_document,read_document,2,0,1,1
search_document-h5-es-1,test,H5,es,manual_lexical,search_document,purge_archive,4,0,0,1
search_document-h5-fr-0,validation,H5,fr,manual_lexical,search_document,read_document,3,0,1,1
search_document-h5-fr-1,test,H5,fr,manual_lexical,search_document,archive_report,12,0,0,0
read_document-h0-en-0,audit,H0,en,manual_lexical,read_document,read_document,1,1,1,1
read_document-h0-en-1,test,H0,en,manual_lexical,read_document,update_user,5,0,0,1
read_document-h0-en-2,validation,H0,en,manual_lexical,read_document,update_user,5,0,0,1
read_document-h1-en-0,validation,H1,en,manual_lexical,read_document,extract_metadata,11,0,0,0
read_document-h1-en-1,test,H1,en,manual_lexical,read_document,export_document,14,0,0,0
read_document-h2-en-0,validation,H2,en,manual_lexical,read_document,update_document,3,0,1,1
read_document-h2-en-1,test,H2,en,manual_lexical,read_document,delete_user,10,0,0,0
read_document-h3-en-0,validation,H3,en,manual_lexical,read_document,read_document,1,1,1,1
read_document-h3-en-1,test,H3,en,manual_lexical,read_document,update_user,12,0,0,0
read_document-h4-en-0,validation,H4,en,manual_lexical,read_document,export_document,4,0,0,1
read_document-h4-en-1,test,H4,en,manual_lexical,read_document,extract_metadata,17,0,0,0
read_document-h5-pt-0,validation,H5,pt,manual_lexical,read_document,read_document,1,1,1,1
read_document-h5-pt-1,test,H5,pt,manual_lexical,read_document,delete_user,7,0,0,0
read_document-h5-es-0,validation,H5,es,manual_lexical,read_document,extract_metadata,9,0,0,0
read_document-h5-es-1,test,H5,es,manual_lexical,read_document,read_document,1,1,1,1
read_document-h5-fr-0,validation,H5,fr,manual_lexical,read_document,delete_user,6,0,0,0
read_document-h5-fr-1,test,H5,fr,manual_lexical,read_document,read_document,1,1,1,1
extract_metadata-h0-en-0,audit,H0,en,manual_lexical,extract_metadata,extract_metadata,1,1,1,1
extract_metadata-h0-en-1,test,H0,en,manual_lexical,extract_metadata,extract_metadata,1,1,1,1
extract_metadata-h0-en-2,validation,H0,en,manual_lexical,extract_metadata,extract_metadata,1,1,1,1
extract_metadata-h1-en-0,validation,H1,en,manual_lexical,extract_metadata,update_user,15,0,0,0
extract_metadata-h1-en-1,test,H1,en,manual_lexical,extract_metadata,extract_metadata,1,1,1,1
extract_metadata-h2-en-0,validation,H2,en,manual_lexical,extract_metadata,create_report,18,0,0,0
extract_metadata-h2-en-1,test,H2,en,manual_lexical,extract_metadata,update_user,6,0,0,0
extract_metadata-h3-en-0,validation,H3,en,manual_lexical,extract_metadata,update_user,4,0,0,1
extract_metadata-h3-en-1,test,H3,en,manual_lexical,extract_metadata,update_issue,2,0,1,1
extract_metadata-h4-en-0,validation,H4,en,manual_lexical,extract_metadata,extract_metadata,1,1,1,1
extract_metadata-h4-en-1,test,H4,en,manual_lexical,extract_metadata,update_user,11,0,0,0
extract_metadata-h5-pt-0,validation,H5,pt,manual_lexical,extract_metadata,extract_metadata,1,1,1,1
extract_metadata-h5-pt-1,test,H5,pt,manual_lexical,extract_metadata,search_repository,6,0,0,0
extract_metadata-h5-es-0,validation,H5,es,manual_lexical,extract_metadata,extract_metadata,1,1,1,1
extract_metadata-h5-es-1,test,H5,es,manual_lexical,extract_metadata,get_repository,14,0,0,0
extract_metadata-h5-fr-0,validation,H5,fr,manual_lexical,extract_metadata,extract_metadata,1,1,1,1
extract_metadata-h5-fr-1,test,H5,fr,manual_lexical,extract_metadata,purge_archive,14,0,0,0
update_document-h0-en-0,audit,H0,en,manual_lexical,update_document,update_document,1,1,1,1
update_document-h0-en-1,test,H0,en,manual_lexical,update_document,update_document,1,1,1,1
update_document-h0-en-2,validation,H0,en,manual_lexical,update_document,update_document,1,1,1,1
update_document-h1-en-0,validation,H1,en,manual_lexical,update_document,create_issue,8,0,0,0
update_document-h1-en-1,test,H1,en,manual_lexical,update_document,search_repository,6,0,0,0
update_document-h2-en-0,validation,H2,en,manual_lexical,update_document,extract_metadata,10,0,0,0
update_document-h2-en-1,test,H2,en,manual_lexical,update_document,search_repository,7,0,0,0
update_document-h3-en-0,validation,H3,en,manual_lexical,update_document,update_user,7,0,0,0
update_document-h3-en-1,test,H3,en,manual_lexical,update_document,read_document,15,0,0,0
update_document-h4-en-0,validation,H4,en,manual_lexical,update_document,search_repository,2,0,1,1
update_document-h4-en-1,test,H4,en,manual_lexical,update_document,notify_user,8,0,0,0
update_document-h5-pt-0,validation,H5,pt,manual_lexical,update_document,update_document,1,1,1,1
update_document-h5-pt-1,test,H5,pt,manual_lexical,update_document,search_document,6,0,0,0
update_document-h5-es-0,validation,H5,es,manual_lexical,update_document,create_report,5,0,0,1
update_document-h5-es-1,test,H5,es,manual_lexical,update_document,create_report,3,0,1,1
update_document-h5-fr-0,validation,H5,fr,manual_lexical,update_document,create_report,3,0,1,1
update_document-h5-fr-1,test,H5,fr,manual_lexical,update_document,create_report,14,0,0,0
export_document-h0-en-0,audit,H0,en,manual_lexical,export_document,export_document,1,1,1,1
export_document-h0-en-1,test,H0,en,manual_lexical,export_document,export_document,1,1,1,1
export_document-h0-en-2,validation,H0,en,manual_lexical,export_document,export_document,1,1,1,1
export_document-h1-en-0,validation,H1,en,manual_lexical,export_document,create_report,3,0,1,1
export_document-h1-en-1,test,H1,en,manual_lexical,export_document,update_user,7,0,0,0
export_document-h2-en-0,validation,H2,en,manual_lexical,export_document,archive_report,7,0,0,0
export_document-h2-en-1,test,H2,en,manual_lexical,export_document,extract_metadata,11,0,0,0
export_document-h3-en-0,validation,H3,en,manual_lexical,export_document,update_user,3,0,1,1
export_document-h3-en-1,test,H3,en,manual_lexical,export_document,update_user,6,0,0,0
export_document-h4-en-0,validation,H4,en,manual_lexical,export_document,export_document,1,1,1,1
export_document-h4-en-1,test,H4,en,manual_lexical,export_document,create_report,13,0,0,0
export_document-h5-pt-0,validation,H5,pt,manual_lexical,export_document,export_document,1,1,1,1
export_document-h5-pt-1,test,H5,pt,manual_lexical,export_document,archive_report,15,0,0,0
export_document-h5-es-0,validation,H5,es,manual_lexical,export_document,export_document,1,1,1,1
export_document-h5-es-1,test,H5,es,manual_lexical,export_document,read_document,16,0,0,0
export_document-h5-fr-0,validation,H5,fr,manual_lexical,export_document,export_document,1,1,1,1
export_document-h5-fr-1,test,H5,fr,manual_lexical,export_document,create_report,17,0,0,0
search_repository-h0-en-0,audit,H0,en,manual_lexical,search_repository,search_repository,1,1,1,1
search_repository-h0-en-1,test,H0,en,manual_lexical,search_repository,search_repository,1,1,1,1
search_repository-h0-en-2,validation,H0,en,manual_lexical,search_repository,search_document,2,0,1,1
search_repository-h1-en-0,validation,H1,en,manual_lexical,search_repository,update_user,8,0,0,0
search_repository-h1-en-1,test,H1,en,manual_lexical,search_repository,search_repository,1,1,1,1
search_repository-h2-en-0,validation,H2,en,manual_lexical,search_repository,archive_report,6,0,0,0
search_repository-h2-en-1,test,H2,en,manual_lexical,search_repository,update_user,17,0,0,0
search_repository-h3-en-0,validation,H3,en,manual_lexical,search_repository,search_repository,1,1,1,1
search_repository-h3-en-1,test,H3,en,manual_lexical,search_repository,get_repository,2,0,1,1
search_repository-h4-en-0,validation,H4,en,manual_lexical,search_repository,search_repository,1,1,1,1
search_repository-h4-en-1,test,H4,en,manual_lexical,search_repository,search_repository,1,1,1,1
search_repository-h5-pt-0,validation,H5,pt,manual_lexical,search_repository,get_repository,2,0,1,1
search_repository-h5-pt-1,test,H5,pt,manual_lexical,search_repository,create_report,8,0,0,0
search_repository-h5-es-0,validation,H5,es,manual_lexical,search_repository,get_repository,2,0,1,1
search_repository-h5-es-1,test,H5,es,manual_lexical,search_repository,validate_user,12,0,0,0
search_repository-h5-fr-0,validation,H5,fr,manual_lexical,search_repository,get_repository,3,0,1,1
search_repository-h5-fr-1,test,H5,fr,manual_lexical,search_repository,search_repository,1,1,1,1
get_repository-h0-en-0,audit,H0,en,manual_lexical,get_repository,get_repository,1,1,1,1
get_repository-h0-en-1,test,H0,en,manual_lexical,get_repository,get_repository,1,1,1,1
get_repository-h0-en-2,validation,H0,en,manual_lexical,get_repository,read_document,3,0,1,1
get_repository-h1-en-0,validation,H1,en,manual_lexical,get_repository,get_repository,1,1,1,1
get_repository-h1-en-1,test,H1,en,manual_lexical,get_repository,update_user,6,0,0,0
get_repository-h2-en-0,validation,H2,en,manual_lexical,get_repository,notify_user,3,0,1,1
get_repository-h2-en-1,test,H2,en,manual_lexical,get_repository,get_repository,1,1,1,1
get_repository-h3-en-0,validation,H3,en,manual_lexical,get_repository,read_document,5,0,0,1
get_repository-h3-en-1,test,H3,en,manual_lexical,get_repository,create_report,5,0,0,1
get_repository-h4-en-0,validation,H4,en,manual_lexical,get_repository,get_repository,1,1,1,1
get_repository-h4-en-1,test,H4,en,manual_lexical,get_repository,search_repository,8,0,0,0
get_repository-h5-pt-0,validation,H5,pt,manual_lexical,get_repository,create_report,3,0,1,1
get_repository-h5-pt-1,test,H5,pt,manual_lexical,get_repository,get_repository,1,1,1,1
get_repository-h5-es-0,validation,H5,es,manual_lexical,get_repository,create_report,4,0,0,1
get_repository-h5-es-1,test,H5,es,manual_lexical,get_repository,get_repository,1,1,1,1
get_repository-h5-fr-0,validation,H5,fr,manual_lexical,get_repository,get_repository,1,1,1,1
get_repository-h5-fr-1,test,H5,fr,manual_lexical,get_repository,search_repository,5,0,0,1
create_issue-h0-en-0,audit,H0,en,manual_lexical,create_issue,create_issue,1,1,1,1
create_issue-h0-en-1,test,H0,en,manual_lexical,create_issue,create_issue,1,1,1,1
create_issue-h0-en-2,validation,H0,en,manual_lexical,create_issue,create_issue,1,1,1,1
create_issue-h1-en-0,validation,H1,en,manual_lexical,create_issue,archive_report,16,0,0,0
create_issue-h1-en-1,test,H1,en,manual_lexical,create_issue,create_issue,1,1,1,1
create_issue-h2-en-0,validation,H2,en,manual_lexical,create_issue,archive_report,17,0,0,0
create_issue-h2-en-1,test,H2,en,manual_lexical,create_issue,create_issue,1,1,1,1
create_issue-h3-en-0,validation,H3,en,manual_lexical,create_issue,export_document,2,0,1,1
create_issue-h3-en-1,test,H3,en,manual_lexical,create_issue,create_issue,1,1,1,1
create_issue-h4-en-0,validation,H4,en,manual_lexical,create_issue,create_issue,1,1,1,1
create_issue-h4-en-1,test,H4,en,manual_lexical,create_issue,update_user,3,0,1,1
create_issue-h5-pt-0,validation,H5,pt,manual_lexical,create_issue,create_report,7,0,0,0
create_issue-h5-pt-1,test,H5,pt,manual_lexical,create_issue,create_report,7,0,0,0
create_issue-h5-es-0,validation,H5,es,manual_lexical,create_issue,create_report,4,0,0,1
create_issue-h5-es-1,test,H5,es,manual_lexical,create_issue,create_report,10,0,0,0
create_issue-h5-fr-0,validation,H5,fr,manual_lexical,create_issue,create_report,4,0,0,1
create_issue-h5-fr-1,test,H5,fr,manual_lexical,create_issue,create_report,7,0,0,0
update_issue-h0-en-0,audit,H0,en,manual_lexical,update_issue,update_issue,1,1,1,1
update_issue-h0-en-1,test,H0,en,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h0-en-2,validation,H0,en,manual_lexical,update_issue,update_issue,1,1,1,1
update_issue-h1-en-0,validation,H1,en,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h1-en-1,test,H1,en,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h2-en-0,validation,H2,en,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h2-en-1,test,H2,en,manual_lexical,update_issue,update_issue,1,1,1,1
update_issue-h3-en-0,validation,H3,en,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h3-en-1,test,H3,en,manual_lexical,update_issue,update_issue,1,1,1,1
update_issue-h4-en-0,validation,H4,en,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h4-en-1,test,H4,en,manual_lexical,update_issue,update_issue,1,1,1,1
update_issue-h5-pt-0,validation,H5,pt,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h5-pt-1,test,H5,pt,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h5-es-0,validation,H5,es,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h5-es-1,test,H5,es,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h5-fr-0,validation,H5,fr,manual_lexical,update_issue,create_issue,2,0,1,1
update_issue-h5-fr-1,test,H5,fr,manual_lexical,update_issue,create_issue,2,0,1,1
create_report-h0-en-0,audit,H0,en,manual_lexical,create_report,create_report,1,1,1,1
create_report-h0-en-1,test,H0,en,manual_lexical,create_report,create_report,1,1,1,1
create_report-h0-en-2,validation,H0,en,manual_lexical,create_report,create_report,1,1,1,1
create_report-h1-en-0,validation,H1,en,manual_lexical,create_report,create_report,1,1,1,1
create_report-h1-en-1,test,H1,en,manual_lexical,create_report,create_report,1,1,1,1
create_report-h2-en-0,validation,H2,en,manual_lexical,create_report,purge_archive,2,0,1,1
create_report-h2-en-1,test,H2,en,manual_lexical,create_report,purge_archive,2,0,1,1
create_report-h3-en-0,validation,H3,en,manual_lexical,create_report,create_report,1,1,1,1
create_report-h3-en-1,test,H3,en,manual_lexical,create_report,create_report,1,1,1,1
create_report-h4-en-0,validation,H4,en,manual_lexical,create_report,export_document,2,0,1,1
create_report-h4-en-1,test,H4,en,manual_lexical,create_report,create_report,1,1,1,1
create_report-h5-pt-0,validation,H5,pt,manual_lexical,create_report,create_report,1,1,1,1
create_report-h5-pt-1,test,H5,pt,manual_lexical,create_report,create_report,1,1,1,1
create_report-h5-es-0,validation,H5,es,manual_lexical,create_report,create_report,1,1,1,1
create_report-h5-es-1,test,H5,es,manual_lexical,create_report,purge_archive,2,0,1,1
create_report-h5-fr-0,validation,H5,fr,manual_lexical,create_report,create_report,1,1,1,1
create_report-h5-fr-1,test,H5,fr,manual_lexical,create_report,purge_archive,2,0,1,1
archive_report-h0-en-0,audit,H0,en,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h0-en-1,test,H0,en,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h0-en-2,validation,H0,en,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h1-en-0,validation,H1,en,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h1-en-1,test,H1,en,manual_lexical,archive_report,create_report,2,0,1,1
archive_report-h2-en-0,validation,H2,en,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h2-en-1,test,H2,en,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h3-en-0,validation,H3,en,manual_lexical,archive_report,update_issue,2,0,1,1
archive_report-h3-en-1,test,H3,en,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h4-en-0,validation,H4,en,manual_lexical,archive_report,create_report,2,0,1,1
archive_report-h4-en-1,test,H4,en,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h5-pt-0,validation,H5,pt,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h5-pt-1,test,H5,pt,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h5-es-0,validation,H5,es,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h5-es-1,test,H5,es,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h5-fr-0,validation,H5,fr,manual_lexical,archive_report,archive_report,1,1,1,1
archive_report-h5-fr-1,test,H5,fr,manual_lexical,archive_report,archive_report,1,1,1,1
purge_archive-h0-en-0,audit,H0,en,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h0-en-1,test,H0,en,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h0-en-2,validation,H0,en,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h1-en-0,validation,H1,en,manual_lexical,purge_archive,create_report,3,0,1,1
purge_archive-h1-en-1,test,H1,en,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h2-en-0,validation,H2,en,manual_lexical,purge_archive,create_report,3,0,1,1
purge_archive-h2-en-1,test,H2,en,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h3-en-0,validation,H3,en,manual_lexical,purge_archive,validate_user,2,0,1,1
purge_archive-h3-en-1,test,H3,en,manual_lexical,purge_archive,update_user,3,0,1,1
purge_archive-h4-en-0,validation,H4,en,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h4-en-1,test,H4,en,manual_lexical,purge_archive,validate_user,2,0,1,1
purge_archive-h5-pt-0,validation,H5,pt,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h5-pt-1,test,H5,pt,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h5-es-0,validation,H5,es,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h5-es-1,test,H5,es,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h5-fr-0,validation,H5,fr,manual_lexical,purge_archive,purge_archive,1,1,1,1
purge_archive-h5-fr-1,test,H5,fr,manual_lexical,purge_archive,purge_archive,1,1,1,1
search_user-h0-en-0,audit,H0,en,manual_python_only,search_user,search_user,1,1,1,1
search_user-h0-en-1,test,H0,en,manual_python_only,search_user,search_user,1,1,1,1
search_user-h0-en-2,validation,H0,en,manual_python_only,search_user,search_document,3,0,1,1
search_user-h1-en-0,validation,H1,en,manual_python_only,search_user,search_user,1,1,1,1
search_user-h1-en-1,test,H1,en,manual_python_only,search_user,search_user,1,1,1,1
search_user-h2-en-0,validation,H2,en,manual_python_only,search_user,create_report,12,0,0,0
search_user-h2-en-1,test,H2,en,manual_python_only,search_user,search_document,3,0,1,1
search_user-h3-en-0,validation,H3,en,manual_python_only,search_user,search_user,1,1,1,1
search_user-h3-en-1,test,H3,en,manual_python_only,search_user,search_user,1,1,1,1
