query_id,split,hardness_level,language,query,context,required_tool,useful_tools,related_tools,unsafe_tools,canonical_operation,canonical_object,variant,mode,top1_tool,top1_correct,required_rank,mrr,recall_at_1,recall_at_3,recall_at_5,top1_score,margin,top3_tools,useful_at_3,related_at_3,unsafe_at_3,false_action,token_overlap,bm25_required_score,bm25_required_rank,canonical_operation_present,canonical_object_present,tool_name_or_alias_present,language_match,routing_seconds,index_bytes,model_bytes,candidate_count,decision,selected_stage,calibrated_confidence
get_user-h0-en-1,test,H0,en,Get the user account identified by u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,1,P0_token,get_user,True,1,1.0,1.0,1.0,1.0,0.31547147035598755,0.061900049448013306,get_user|update_user|delete_user,0,2,1,False,0.5714285714285714,1.0,1,True,True,False,True,0.011696399888023734,13427,0,18,select,P0_token,
get_user-h0-en-2,validation,H0,en,Read the user record for u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,2,P0_token,update_user,False,6,0.16666666666666666,0.0,0.0,0.0,0.30393773317337036,0.021092206239700317,update_user|validate_user|delete_user,0,3,1,True,0.16666666666666666,0.4484975039958954,4,False,True,False,True,0.009992500068619847,13427,0,18,select,P0_token,
get_user-h1-en-0,validation,H1,en,Load the profile belonging to identifier u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,0,P0_token,read_document,False,13,0.07692307692307693,0.0,0.0,0.0,0.15776142477989197,0.013432413339614868,read_document|update_user|update_document,0,1,0,True,0.14285714285714285,0.9670329689979553,2,False,False,False,True,0.012127300025895238,13427,0,18,select,P0_token,
get_user-h1-en-1,test,H1,en,Show me the account details stored under u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,1,P0_token,get_repository,False,4,0.25,0.0,0.0,1.0,0.16931401193141937,0.0034049153327941895,get_repository|update_user|notify_user,0,2,0,True,0.125,0.3459242582321167,6,False,False,False,True,0.007011499954387546,13427,0,18,select,P0_token,
get_user-h2-en-0,validation,H2,en,What do we know about u17?,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,0,P0_token,update_document,False,12,0.08333333333333333,0.0,0.0,0.0,0.20000000298023224,0.015322580933570862,update_document|export_document|read_document,0,0,0,True,0.0,0.0,3,False,False,False,True,0.00530409999191761,13427,0,18,select,P0_token,
get_user-h2-en-1,test,H2,en,Pull up u17 for me.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,1,P0_token,update_document,False,9,0.1111111111111111,0.0,0.0,0.0,0.1818181872367859,0.0,update_document|export_document|update_issue,0,0,0,True,0.0,0.0,2,False,False,False,True,0.009690500097349286,13427,0,18,select,P0_token,
get_user-h3-en-0,validation,H3,en,I already have identifier u17 and need to see its current state.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,0,P0_token,read_document,False,18,0.05555555555555555,0.0,0.0,0.0,0.1506049633026123,0.03517231345176697,read_document|create_report|create_issue,0,0,0,True,0.08333333333333333,0.9670329689979553,2,False,False,False,True,0.011035699862986803,13427,0,18,select,P0_token,
get_user-h3-en-1,test,H3,en,The identifier is u17; tell me what is on file.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,1,P0_token,read_document,False,9,0.1111111111111111,0.0,0.0,0.0,0.13233716785907745,0.009287521243095398,read_document|update_document|extract_metadata,0,0,0,True,0.1111111111111111,0.9670329689979553,2,False,False,False,True,0.006210400024428964,13427,0,18,select,P0_token,
get_user-h4-en-0,validation,H4,en,Show me her record.,Alice's internal identifier is u17. Her current account state is unknown.,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,0,P0_token,validate_user,False,10,0.1,0.0,0.0,0.0,0.1327701359987259,0.01308489590883255,validate_user|create_issue|create_report,0,1,0,True,0.14285714285714285,1.0,1,False,False,False,True,0.022394799860194325,13427,0,18,select,P0_token,
get_user-h4-en-1,test,H4,en,What details belong to it?,Support supplied u17 as the confirmed internal ID.,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,1,P0_token,export_document,False,14,0.07142857142857142,0.0,0.0,0.0,0.12396825104951859,0.003932476043701172,export_document|update_user|update_document,0,1,0,True,0.0,0.0,5,False,False,False,True,0.008974500000476837,13427,0,18,select,P0_token,
get_user-h5-pt-0,validation,H5,pt,Mostre os dados da conta u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,0,P0_token,read_document,False,18,0.05555555555555555,0.0,0.0,0.0,0.2051219493150711,0.019075438380241394,read_document|search_document|update_document,0,0,0,True,0.0,0.0,2,False,False,False,False,0.007542100036516786,13427,0,18,select,P0_token,
get_user-h5-pt-1,test,H5,pt,Consulte o registo identificado por u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,1,P0_token,create_report,False,17,0.058823529411764705,0.0,0.0,0.0,0.18005366623401642,0.022292092442512512,create_report|archive_report|update_document,0,0,0,True,0.0,0.0,2,False,False,False,False,0.006221399875357747,13427,0,18,select,P0_token,
get_user-h5-es-0,validation,H5,es,Muestra los datos de la cuenta u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,0,P0_token,update_document,False,16,0.0625,0.0,0.0,0.0,0.24070601165294647,0.01960672438144684,update_document|read_document|search_document,0,0,0,True,0.0,0.0,2,False,False,False,False,0.009903999976813793,13427,0,18,select,P0_token,
get_user-h5-es-1,test,H5,es,Consulta el registro identificado por u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,1,P0_token,create_report,False,15,0.06666666666666667,0.0,0.0,0.0,0.1733333319425583,0.021357044577598572,create_report|archive_report|delete_user,0,1,1,True,0.0,0.0,2,False,False,False,False,0.011029900051653385,13427,0,18,select,P0_token,
get_user-h5-fr-0,validation,H5,fr,Affichez les donnees du compte u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,0,P0_token,delete_user,False,14,0.07142857142857142,0.0,0.0,0.0,0.16412697732448578,0.0008616745471954346,delete_user|search_document|validate_user,0,2,1,True,0.0,0.0,2,False,False,False,False,0.012305299984291196,13427,0,18,select,P0_token,
get_user-h5-fr-1,test,H5,fr,Consultez la fiche identifiee par u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,1,P0_token,search_document,False,18,0.05555555555555555,0.0,0.0,0.0,0.19928443431854248,0.03261776268482208,search_document|search_repository|update_document,0,0,0,True,0.0,0.0,2,False,False,False,False,0.00863629998639226,13427,0,18,select,P0_token,
validate_user-h0-en-0,audit,H0,en,Validate whether user u17 may be changed.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,0,P0_token,validate_user,True,1,1.0,1.0,1.0,1.0,0.4852830171585083,0.2385743409395218,validate_user|update_user|delete_user,0,2,1,False,0.8571428571428571,1.0,1,True,True,False,True,0.006111500086262822,13427,0,18,select,P0_token,
validate_user-h0-en-1,test,H0,en,Validate account u17 before changing it.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,1,P0_token,validate_user,True,1,1.0,1.0,1.0,1.0,0.3460845351219177,0.13736659288406372,validate_user|update_user|update_document,0,1,0,False,0.3333333333333333,1.0,1,True,False,False,True,0.011625699931755662,13427,0,18,select,P0_token,
validate_user-h0-en-2,validation,H0,en,Check user u17 for update eligibility.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,2,P0_token,update_user,False,5,0.2,0.0,0.0,1.0,0.3083333373069763,0.07192307710647583,update_user|update_document|update_issue,0,1,0,True,0.16666666666666666,0.38133999705314636,8,False,True,False,True,0.011303500039502978,13427,0,18,select,P0_token,
validate_user-h1-en-0,validation,H1,en,Confirm that u17 is eligible for modification.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,0,P0_token,create_report,False,3,0.3333333333333333,0.0,1.0,1.0,0.1551724076271057,0.014821529388427734,create_report|create_issue|validate_user,0,0,0,True,0.0,0.0,3,False,False,False,True,0.01323090004734695,13427,0,18,select,P0_token,
validate_user-h1-en-1,test,H1,en,Verify whether changes are permitted for u17.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,1,P0_token,search_repository,False,13,0.07692307692307693,0.0,0.0,0.0,0.2087213099002838,0.030057519674301147,search_repository|get_repository|archive_report,0,0,0,True,0.14285714285714285,1.0,1,False,False,False,True,0.011715099913999438,13427,0,18,select,P0_token,
validate_user-h2-en-0,validation,H2,en,Is u17 safe to edit?,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,0,P0_token,search_user,False,3,0.3333333333333333,0.0,1.0,1.0,0.1666666716337204,0.0,search_user|notify_user|validate_user,1,1,0,True,0.0,0.0,3,False,False,False,True,0.008315199986100197,13427,0,18,select,P0_token,
validate_user-h2-en-1,test,H2,en,"Can we touch u17, or is it locked?",,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,1,P0_token,export_document,False,15,0.06666666666666667,0.0,0.0,0.0,0.1702127605676651,0.011121854186058044,export_document|create_issue|create_report,0,0,0,True,0.0,0.0,3,False,False,False,True,0.008687700144946575,13427,0,18,select,P0_token,
validate_user-h3-en-0,validation,H3,en,"Before anyone changes u17, make sure policy allows it.",,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,0,P0_token,create_issue,False,17,0.058823529411764705,0.0,0.0,0.0,0.1465073525905609,0.014154404401779175,create_issue|extract_metadata|search_user,1,0,0,True,0.0,0.0,3,False,False,False,True,0.006928900023922324,13427,0,18,select,P0_token,
validate_user-h3-en-1,test,H3,en,We need a go/no-go decision before altering identifier u17.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,1,P0_token,read_document,False,16,0.0625,0.0,0.0,0.0,0.16339033842086792,0.028716549277305603,read_document|search_document|update_document,0,0,0,True,0.1,0.0,11,False,False,False,True,0.013164500007405877,13427,0,18,select,P0_token,
validate_user-h4-en-0,validation,H4,en,Make sure the change is allowed.,"A status change is proposed for Alice, whose identifier is u17. Approval has not been checked.",validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,0,P0_token,update_issue,False,12,0.08333333333333333,0.0,0.0,0.0,0.1012159138917923,0.017696894705295563,update_issue|archive_report|read_document,0,0,0,True,0.05263157894736842,0.06047816574573517,11,False,False,False,True,0.014726700028404593,13427,0,18,select,P0_token,
validate_user-h4-en-1,test,H4,en,Perform the prerequisite check.,The workflow reached u17 but must not write until eligibility is known.,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,1,P0_token,delete_user,False,7,0.14285714285714285,0.0,0.0,0.0,0.09261904656887054,0.0016388818621635437,delete_user|read_document|update_user,0,2,1,True,0.0,0.0,5,False,False,False,True,0.01166910002939403,13427,0,18,select,P0_token,
validate_user-h5-pt-0,validation,H5,pt,Confirme se e permitido alterar u17.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,0,P0_token,create_report,False,7,0.14285714285714285,0.0,0.0,0.0,0.17435897886753082,0.0012820512056350708,create_report|search_repository|archive_report,0,0,0,True,0.0,0.0,3,False,False,False,False,0.005855799885466695,13427,0,18,select,P0_token,
validate_user-h5-pt-1,test,H5,pt,Verifique se u17 pode ser modificado.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,1,P0_token,delete_user,False,2,0.5,0.0,1.0,1.0,0.17854610085487366,0.007386058568954468,delete_user|validate_user|search_user,1,1,1,True,0.0,0.0,3,False,False,False,False,0.006699899910017848,13427,0,18,select,P0_token,
validate_user-h5-es-0,validation,H5,es,Confirma si esta permitido cambiar u17.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,0,P0_token,read_document,False,7,0.14285714285714285,0.0,0.0,0.0,0.1443977653980255,0.005504116415977478,read_document|export_document|extract_metadata,0,0,0,True,0.0,0.0,3,False,False,False,False,0.011085700010880828,13427,0,18,select,P0_token,
validate_user-h5-es-1,test,H5,es,Verifica si u17 puede modificarse.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,1,P0_token,search_repository,False,12,0.08333333333333333,0.0,0.0,0.0,0.1599999964237213,0.017142847180366516,search_repository|extract_metadata|archive_report,0,0,0,True,0.0,0.0,3,False,False,False,False,0.007901099976152182,13427,0,18,select,P0_token,
validate_user-h5-fr-0,validation,H5,fr,Confirmez que la modification de u17 est autorisee.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,0,P0_token,update_user,False,2,0.5,0.0,1.0,1.0,0.14754098653793335,0.004683837294578552,update_user|validate_user|delete_user,0,2,1,True,0.0,0.0,3,False,False,False,False,0.006593000143766403,13427,0,18,select,P0_token,
validate_user-h5-fr-1,test,H5,fr,Verifiez si u17 peut etre modifie.,,validate_user,"('search_user',)","('delete_user', 'get_user', 'notify_user', 'update_user')","('delete_user', 'purge_archive')",validate,user,1,P0_token,get_repository,False,12,0.08333333333333333,0.0,0.0,0.0,0.16607902944087982,0.010523468255996704,get_repository|update_issue|update_document,0,0,0,True,0.0,0.0,3,False,False,False,False,0.008333700010553002,13427,0,18,select,P0_token,
update_user-h0-en-0,audit,H0,en,Update user u17 status to active.,,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,0,P0_token,update_user,True,1,1.0,1.0,1.0,1.0,0.4596601128578186,0.15094798803329468,update_user|update_issue|validate_user,1,0,0,False,0.5,1.0,1,True,True,True,True,0.0056305998004972935,13427,0,18,select,P0_token,
update_user-h0-en-1,test,H0,en,Set the status of user u17 to active.,,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,1,P0_token,update_user,True,1,1.0,1.0,1.0,1.0,0.27540674805641174,0.06228357553482056,update_user|get_user|search_user,1,1,0,False,0.5,1.0,1,False,True,False,True,0.009679500013589859,13427,0,18,select,P0_token,
update_user-h0-en-2,validation,H0,en,Update account u17 so its status is active.,,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,2,P0_token,update_user,True,1,1.0,1.0,1.0,1.0,0.29444846510887146,0.029263287782669067,update_user|update_issue|update_document,0,0,0,False,0.375,1.0,1,True,False,False,True,0.01214510016143322,13427,0,18,select,P0_token,
update_user-h1-en-0,validation,H1,en,Modify account u17 so its state is active.,,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,0,P0_token,notify_user,False,4,0.25,0.0,0.0,1.0,0.18616323173046112,0.012719839811325073,notify_user|create_issue|update_issue,0,1,0,True,0.125,0.9340659379959106,4,False,False,False,True,0.008514099987223744,13427,0,18,select,P0_token,
update_user-h1-en-1,test,H1,en,Change u17's profile state to active.,,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,1,P0_token,create_issue,False,4,0.25,0.0,0.0,1.0,0.17456139624118805,0.0,create_issue|update_issue|purge_archive,0,0,1,True,0.0,0.0,5,False,False,False,True,0.010553400032222271,13427,0,18,select,P0_token,
update_user-h2-en-0,validation,H2,en,Make u17 active again.,,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,0,P0_token,purge_archive,False,4,0.25,0.0,0.0,1.0,0.21699346601963043,0.017804279923439026,purge_archive|extract_metadata|archive_report,0,0,1,True,0.0,0.0,4,False,False,False,True,0.009438300039619207,13427,0,18,select,P0_token,
update_user-h2-en-1,test,H2,en,Put u17 back in good standing.,,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,1,P0_token,export_document,False,4,0.25,0.0,0.0,1.0,0.16969697177410126,0.02683982253074646,export_document|purge_archive|create_issue,0,0,1,True,0.0,0.0,6,False,False,False,True,0.006344499997794628,13427,0,18,select,P0_token,
update_user-h3-en-0,validation,H3,en,u17 should not be suspended anymore.,,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,0,P0_token,validate_user,False,2,0.5,0.0,1.0,1.0,0.22083333134651184,0.025181159377098083,validate_user|update_user|notify_user,1,1,0,True,0.0,0.0,4,False,False,False,True,0.009598499862477183,13427,0,18,select,P0_token,
update_user-h3-en-1,test,H3,en,Restore access for identifier u17.,,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,1,P0_token,read_document,False,6,0.16666666666666666,0.0,0.0,0.0,0.20839013159275055,0.02250424027442932,read_document|create_issue|export_document,0,0,0,True,0.0,0.0,5,False,False,False,True,0.0061956001445651054,13427,0,18,select,P0_token,
update_user-h4-en-0,validation,H4,en,Fix her account so she can use it again.,Alice is user u17. Her account was suspended by mistake.,update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,0,P0_token,validate_user,False,4,0.25,0.0,0.0,1.0,0.11997032910585403,0.007033266127109528,validate_user|extract_metadata|search_user,2,0,0,True,0.11764705882352941,0.6690504550933838,4,False,True,False,True,0.014840499963611364,13427,0,18,select,P0_token,
update_user-h4-en-1,test,H4,en,Apply the correction.,"The review cleared u17, but the stored state still blocks sign-in.",update_user,"('search_user', 'validate_user')","('delete_user', 'get_user', 'notify_user')","('delete_user', 'purge_archive')",update,user,1,P0_token,create_issue,False,4,0.25,0.0,0.0,1.0,0.11216811835765839,0.006179936230182648,create_issue|validate_user|export_document,1,0,0,True,0.07692307692307693,1.0,1,False,False,False,True,0.01987700001336634,13427,0,18,select,P0_token,
