repository_id,query_id,query,relevant_path,mode,selected_path,recall,precision,selected_tokens,candidate_count
cognitive_coprocessors,six_way_router,Which module implements factorized six-way neural routing for diagnostic requests?,src/ccpu/paper2/router.py,all_valid,src/ccpu/paper2/graph.py,1.0,0.125,7739,8
cognitive_coprocessors,six_way_router,Which module implements factorized six-way neural routing for diagnostic requests?,src/ccpu/paper2/router.py,lexical,src/ccpu/paper2/router.py,1.0,1.0,1408,8
cognitive_coprocessors,six_way_router,Which module implements factorized six-way neural routing for diagnostic requests?,src/ccpu/paper2/router.py,learned,src/ccpu/paper2/router.py,1.0,1.0,1408,8
cognitive_coprocessors,six_way_router,Which module implements factorized six-way neural routing for diagnostic requests?,src/ccpu/paper2/router.py,fielded_bm25,src/ccpu/paper2/router.py,1.0,1.0,1408,8
cognitive_coprocessors,six_way_router,Which module implements factorized six-way neural routing for diagnostic requests?,src/ccpu/paper2/router.py,oracle,src/ccpu/paper2/router.py,1.0,1.0,1408,8
cognitive_coprocessors,frame_closure,Where is the bounded ISA and frame-slot closure engine defined?,src/ccpu/paper2/graph.py,all_valid,src/ccpu/paper2/graph.py,1.0,0.125,7739,8
cognitive_coprocessors,frame_closure,Where is the bounded ISA and frame-slot closure engine defined?,src/ccpu/paper2/graph.py,lexical,src/ccpu/paper2/graph.py,1.0,1.0,476,8
cognitive_coprocessors,frame_closure,Where is the bounded ISA and frame-slot closure engine defined?,src/ccpu/paper2/graph.py,learned,src/ccpu/paper2/graph.py,1.0,1.0,476,8
cognitive_coprocessors,frame_closure,Where is the bounded ISA and frame-slot closure engine defined?,src/ccpu/paper2/graph.py,fielded_bm25,src/ccpu/paper2/graph.py,1.0,1.0,476,8
cognitive_coprocessors,frame_closure,Where is the bounded ISA and frame-slot closure engine defined?,src/ccpu/paper2/graph.py,oracle,src/ccpu/paper2/graph.py,1.0,1.0,476,8
cognitive_coprocessors,micro_state,Which module owns bounded append-only typed micro-state shared by engines?,src/ccpu/paper2/state.py,all_valid,src/ccpu/paper2/graph.py,1.0,0.125,7739,8
cognitive_coprocessors,micro_state,Which module owns bounded append-only typed micro-state shared by engines?,src/ccpu/paper2/state.py,lexical,src/ccpu/paper2/state.py,1.0,1.0,219,8
cognitive_coprocessors,micro_state,Which module owns bounded append-only typed micro-state shared by engines?,src/ccpu/paper2/state.py,learned,src/ccpu/paper2/state.py,1.0,1.0,219,8
cognitive_coprocessors,micro_state,Which module owns bounded append-only typed micro-state shared by engines?,src/ccpu/paper2/state.py,fielded_bm25,src/ccpu/paper2/state.py,1.0,1.0,219,8
cognitive_coprocessors,micro_state,Which module owns bounded append-only typed micro-state shared by engines?,src/ccpu/paper2/state.py,oracle,src/ccpu/paper2/state.py,1.0,1.0,219,8
cognitive_coprocessors,postgres_pgvector,Where are explicit service-backed Postgres and pgvector data coprocessors implemented?,src/ccpu/paper2_5/service_sources.py,all_valid,src/ccpu/paper2/graph.py,1.0,0.125,7739,8
cognitive_coprocessors,postgres_pgvector,Where are explicit service-backed Postgres and pgvector data coprocessors implemented?,src/ccpu/paper2_5/service_sources.py,lexical,src/ccpu/paper2_5/service_sources.py,1.0,1.0,1551,8
cognitive_coprocessors,postgres_pgvector,Where are explicit service-backed Postgres and pgvector data coprocessors implemented?,src/ccpu/paper2_5/service_sources.py,learned,src/ccpu/paper2_5/service_sources.py,1.0,1.0,1551,8
cognitive_coprocessors,postgres_pgvector,Where are explicit service-backed Postgres and pgvector data coprocessors implemented?,src/ccpu/paper2_5/service_sources.py,fielded_bm25,src/ccpu/paper2_5/service_sources.py,1.0,1.0,1551,8
cognitive_coprocessors,postgres_pgvector,Where are explicit service-backed Postgres and pgvector data coprocessors implemented?,src/ccpu/paper2_5/service_sources.py,oracle,src/ccpu/paper2_5/service_sources.py,1.0,1.0,1551,8
cognitive_coprocessors,retrieval_composition,Which module runs bounded deterministic preprocessing compositions for heterogeneous retrieval?,src/ccpu/paper2_5/composition.py,all_valid,src/ccpu/paper2/graph.py,1.0,0.125,7739,8
cognitive_coprocessors,retrieval_composition,Which module runs bounded deterministic preprocessing compositions for heterogeneous retrieval?,src/ccpu/paper2_5/composition.py,lexical,src/ccpu/paper2_5/composition.py,1.0,1.0,481,8
cognitive_coprocessors,retrieval_composition,Which module runs bounded deterministic preprocessing compositions for heterogeneous retrieval?,src/ccpu/paper2_5/composition.py,learned,src/ccpu/paper2_5/composition.py,1.0,1.0,481,8
cognitive_coprocessors,retrieval_composition,Which module runs bounded deterministic preprocessing compositions for heterogeneous retrieval?,src/ccpu/paper2_5/composition.py,fielded_bm25,src/ccpu/paper2_5/composition.py,1.0,1.0,481,8
cognitive_coprocessors,retrieval_composition,Which module runs bounded deterministic preprocessing compositions for heterogeneous retrieval?,src/ccpu/paper2_5/composition.py,oracle,src/ccpu/paper2_5/composition.py,1.0,1.0,481,8
cognitive_coprocessors,iceberg_fixture,Where is the local Iceberg governed-metric and ontology production-shaped fixture?,src/ccpu/paper2_5/enterprise.py,all_valid,src/ccpu/paper2/graph.py,1.0,0.125,7739,8
cognitive_coprocessors,iceberg_fixture,Where is the local Iceberg governed-metric and ontology production-shaped fixture?,src/ccpu/paper2_5/enterprise.py,lexical,src/ccpu/paper2_5/enterprise.py,1.0,1.0,2764,8
cognitive_coprocessors,iceberg_fixture,Where is the local Iceberg governed-metric and ontology production-shaped fixture?,src/ccpu/paper2_5/enterprise.py,learned,src/ccpu/paper2_5/enterprise.py,1.0,1.0,2764,8
cognitive_coprocessors,iceberg_fixture,Where is the local Iceberg governed-metric and ontology production-shaped fixture?,src/ccpu/paper2_5/enterprise.py,fielded_bm25,src/ccpu/paper2_5/enterprise.py,1.0,1.0,2764,8
cognitive_coprocessors,iceberg_fixture,Where is the local Iceberg governed-metric and ontology production-shaped fixture?,src/ccpu/paper2_5/enterprise.py,oracle,src/ccpu/paper2_5/enterprise.py,1.0,1.0,2764,8
cognitive_coprocessors,benchmark_registry,Which module freezes the cross-paper public benchmark registry for matched controls?,src/ccpu/paper3/public_benchmarks.py,all_valid,src/ccpu/paper2/graph.py,1.0,0.125,7739,8
cognitive_coprocessors,benchmark_registry,Which module freezes the cross-paper public benchmark registry for matched controls?,src/ccpu/paper3/public_benchmarks.py,lexical,src/ccpu/paper3/public_benchmarks.py,1.0,1.0,399,8
cognitive_coprocessors,benchmark_registry,Which module freezes the cross-paper public benchmark registry for matched controls?,src/ccpu/paper3/public_benchmarks.py,learned,src/ccpu/paper3/public_benchmarks.py,1.0,1.0,399,8
cognitive_coprocessors,benchmark_registry,Which module freezes the cross-paper public benchmark registry for matched controls?,src/ccpu/paper3/public_benchmarks.py,fielded_bm25,src/ccpu/paper3/public_benchmarks.py,1.0,1.0,399,8
cognitive_coprocessors,benchmark_registry,Which module freezes the cross-paper public benchmark registry for matched controls?,src/ccpu/paper3/public_benchmarks.py,oracle,src/ccpu/paper3/public_benchmarks.py,1.0,1.0,399,8
