answer_correct,case_id,condition,constraint_violation,expected_token_id,expected_token_rank,format_compliant,generated_text,generation_seconds,protocol,required_evidence_use,scope,decode_calls_with_memory,decode_lifetime_pass,duplication_ratio,layer_count,layers,merged_interval_count,overlap_removed_tokens,query_position_offset,raw_interval_count,raw_selected_tokens,selected_reference_count,target_span_tokens,unique_native_tokens
0,linear_dependency-low-s23,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,11692,50778,0,,0.4260576998349279,paper8-native-bug-ablation-v2,0.0,native,28,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,49,2,24,2,,24
0,linear_dependency-low-s23,LAYER_ABLATION_FULL_SELECTED_SPARSE4,0,11692,1,1,ANSWER= Resolve legal filing for scope t7,2.3886662998702377,paper8-native-bug-ablation-v2,0.0,native,44,1,2.0,4,"[11, 17, 23, 27]",2,86,49,4,172,2,full,86
0,linear_dependency-low-s23,LAYER_ABLATION_FULL_SELECTED_LATE1,0,11692,1,1,ANSWER= Resolve legal filing for scope t7,2.068728599930182,paper8-native-bug-ablation-v2,0.0,native,11,1,2.0,1,[27],2,86,49,4,172,2,full,86
0,join-low-s37,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=+lilac +north +amber +ember,3.285646399948746,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
0,join-low-s37,VISIBLE_FULL_TASK_SCOPE,1,11692,1,1,ANSWER=delta+ember,1.4555003000423312,paper8-native-bug-ablation-v2,0.3333333333333333,visible,,,,,,,,,,,,,
0,join-low-s37,NATIVE_FULL_SESSION,0,11692,6,1,"</think>

ANSWER=task= [{""task"": ""t=Resolve legal_f7,verification_code"": ""t7",12.159462300129235,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,51,8,342,8,full,342
0,join-low-s37,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,7.588206300046295,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,0,50,4,169,4,full,169
0,join-low-s37,A1_REQUIRED_RECORDS_FULL,0,11692,1,1,ANSWER= Resolve legal filing_code=+cobaltant,4.704616299830377,paper8-native-bug-ablation-v2,0.3333333333333333,native,364,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",3,0,49,3,119,3,full,119
0,join-low-s37,A2_SELECTED_RECORDS_FULL,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,7.6971581999678165,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,169,50,8,338,4,full,169
0,join-low-s37,A3_SELECTED_PLUS_REQUIRED_FULL,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,8.158465000102296,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,0,50,4,169,4,full,169
0,join-low-s37,A4_A5_SELECTED_WINDOW_512,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,8.103542299941182,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,169,50,8,338,4,512,169
0,join-low-s37,A4_A5_SELECTED_WINDOW_256,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,8.542922700056806,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,169,50,8,338,4,256,169
0,join-low-s37,A4_A5_SELECTED_WINDOW_128,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,8.863247899804264,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,169,50,8,338,4,128,169
0,join-low-s37,A4_A5_SELECTED_WINDOW_96,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,11.288140499964356,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,169,50,8,338,4,96,169
0,join-low-s37,A4_A5_SELECTED_WINDOW_64,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,8.02981310011819,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,169,50,8,338,4,64,169
0,join-low-s37,A4_A5_SELECTED_WINDOW_32,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,7.852893400005996,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,1.514792899408284,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,87,50,8,256,4,32,169
0,join-low-s37,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,11692,6595,0,,0.42879600008018315,paper8-native-bug-ablation-v2,0.0,native,28,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",3,0,49,3,59,3,,59
0,join-low-s37,LAYER_ABLATION_FULL_SELECTED_SPARSE4,0,11692,1,1,ANSWER= Resolve legal filing for scope t7,2.2398997999262065,paper8-native-bug-ablation-v2,0.0,native,44,1,2.0,4,"[11, 17, 23, 27]",4,169,50,8,338,4,full,169
0,join-low-s37,LAYER_ABLATION_FULL_SELECTED_LATE1,0,11692,1,1,ANSWER= Resolve legal filing for scope t7,2.0204946000594646,paper8-native-bug-ablation-v2,0.0,native,11,1,2.0,1,[27],4,169,50,8,338,4,full,169
0,resumption-low-s53,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=onyx,1.703243900090456,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
1,resumption-low-s53,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=nectar,1.2025638001505286,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,resumption-low-s53,NATIVE_FULL_SESSION,0,11692,1,1,"ANSWER= ANSWER=VER=VER=VERIFIED=VERIFIED=VERIFIED=0{""VERIFIED=",11.522004099795595,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,52,8,346,8,full,346
1,resumption-low-s53,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= nectar,1.8390190999489278,paper8-native-bug-ablation-v2,1.0,native,168,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,33,1,33,1,full,33
1,resumption-low-s53,A1_REQUIRED_RECORDS_FULL,0,11692,1,1,ANSWER= nectar,2.0185856998432428,paper8-native-bug-ablation-v2,1.0,native,168,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,33,1,33,1,full,33
1,resumption-low-s53,A2_SELECTED_RECORDS_FULL,0,11692,1,1,ANSWER= nectar,1.8687219000421464,paper8-native-bug-ablation-v2,1.0,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,33,33,2,66,1,full,33
1,resumption-low-s53,A3_SELECTED_PLUS_REQUIRED_FULL,0,11692,1,1,ANSWER= nectar,1.899987099925056,paper8-native-bug-ablation-v2,1.0,native,168,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,33,1,33,1,full,33
1,resumption-low-s53,A4_A5_SELECTED_WINDOW_512,0,11692,1,1,ANSWER= nectar,1.841108800144866,paper8-native-bug-ablation-v2,1.0,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,33,33,2,66,1,512,33
1,resumption-low-s53,A4_A5_SELECTED_WINDOW_256,0,11692,1,1,ANSWER= nectar,2.006464899983257,paper8-native-bug-ablation-v2,1.0,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,33,33,2,66,1,256,33
1,resumption-low-s53,A4_A5_SELECTED_WINDOW_128,0,11692,1,1,ANSWER= nectar,2.0432011999655515,paper8-native-bug-ablation-v2,1.0,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,33,33,2,66,1,128,33
1,resumption-low-s53,A4_A5_SELECTED_WINDOW_96,0,11692,1,1,ANSWER= nectar,2.0025142999365926,paper8-native-bug-ablation-v2,1.0,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,33,33,2,66,1,96,33
1,resumption-low-s53,A4_A5_SELECTED_WINDOW_64,0,11692,1,1,ANSWER= nectar,2.0069850001018494,paper8-native-bug-ablation-v2,1.0,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,33,33,2,66,1,64,33
1,resumption-low-s53,A4_A5_SELECTED_WINDOW_32,0,11692,1,1,ANSWER= nectar,2.194900200003758,paper8-native-bug-ablation-v2,1.0,native,168,1,1.9393939393939394,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,31,33,2,64,1,32,33
0,resumption-low-s53,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,11692,13280,0,,0.3864929999690503,paper8-native-bug-ablation-v2,0.0,native,28,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,33,1,13,1,,13
0,resumption-low-s53,LAYER_ABLATION_FULL_SELECTED_SPARSE4,0,11692,1,1,ANSWER= <code>000000000000000000,5.033051299862564,paper8-native-bug-ablation-v2,0.0,native,96,1,2.0,4,"[11, 17, 23, 27]",1,33,33,2,66,1,full,33
0,resumption-low-s53,LAYER_ABLATION_FULL_SELECTED_LATE1,0,11692,1,1,ANSWER= <verification_code>0>000000000000000,4.619170299964026,paper8-native-bug-ablation-v2,0.0,native,24,1,2.0,1,[27],1,33,33,2,66,1,full,33
0,conflicting_state-low-s71,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=iris,1.5168424998410046,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
1,conflicting_state-low-s71,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= lilac,1.0962819999549538,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,conflicting_state-low-s71,NATIVE_FULL_SESSION,0,11692,1,1,ANSWER= ANSWER=verification_code=verification_code=kloe,6.727097700117156,paper8-native-bug-ablation-v2,0.0,native,392,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,54,8,369,8,full,369
1,conflicting_state-low-s71,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= lilacme,2.237131099915132,paper8-native-bug-ablation-v2,1.0,native,196,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,42,1,42,1,full,42
1,conflicting_state-low-s71,A1_REQUIRED_RECORDS_FULL,0,11692,1,1,ANSWER= lilacme,2.274764599977061,paper8-native-bug-ablation-v2,1.0,native,196,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,42,1,42,1,full,42
1,conflicting_state-low-s71,A2_SELECTED_RECORDS_FULL,0,11692,1,1,ANSWER= lilacme,2.1172325999941677,paper8-native-bug-ablation-v2,1.0,native,196,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,42,42,2,84,1,full,42
1,conflicting_state-low-s71,A3_SELECTED_PLUS_REQUIRED_FULL,0,11692,1,1,ANSWER= lilacme,2.3061228999868035,paper8-native-bug-ablation-v2,1.0,native,196,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,42,1,42,1,full,42
1,conflicting_state-low-s71,A4_A5_SELECTED_WINDOW_512,0,11692,1,1,ANSWER= lilacme,2.283385199960321,paper8-native-bug-ablation-v2,1.0,native,196,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,42,42,2,84,1,512,42
1,conflicting_state-low-s71,A4_A5_SELECTED_WINDOW_256,0,11692,1,1,ANSWER= lilacme,2.0228140000253916,paper8-native-bug-ablation-v2,1.0,native,196,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,42,42,2,84,1,256,42
1,conflicting_state-low-s71,A4_A5_SELECTED_WINDOW_128,0,11692,1,1,ANSWER= lilacme,2.2870044000446796,paper8-native-bug-ablation-v2,1.0,native,196,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,42,42,2,84,1,128,42
1,conflicting_state-low-s71,A4_A5_SELECTED_WINDOW_96,0,11692,1,1,ANSWER= lilacme,2.1687614999245852,paper8-native-bug-ablation-v2,1.0,native,196,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,42,42,2,84,1,96,42
