dataset,example_id,terminal_parent,seed_count,question,answer,terminal_text,classification
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,26,2,Are the automatically constructed datasets subject to quality control?,no,"REF13, however, initial versions of the DictionaryQA dataset had unforeseen biases partly related to whether distractors were sampled from entries without example sentences, which resulted in high Choice-Only-GloVe scores ranging around 56% accuracy before a filtering step was applied to remove these distractors.
We had similar issues with the hypernymy probe which, even after a filtering step that used our Choice-to-Choice-GloVe model, still leads to high results on the BERT and RoBERTa choice-only models. Given that several attempts were made to entirely de-duplicate the different splits (both in terms of gold answers and distractor types), the source of these biases is not at all obvious, which shows how easy it is for unintended biases in expert knowledge to appear in the resulting datasets and the importance of having rigorous baselines. We also note the large gap in some cases between the BERT and RoBERTa versus GloVe choice-only models, which highlights the need for having partial-input baselines that use the best available models.
Using a more conventional set of Task-Specific QA models (i.e., the LSTM-based Question-to-Choice models trained directly on the probes), we can see that results are not particularly strong on any of the datasets,",non_oracle_but_plausibly_relevant
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,4,1,Does RoBERTa outperform BERT?,no," and report all scores including inter-dataset scores (i.e. train on one dataset, evaluate on another) to test the generalizability of the models. This approach outperforms all existing systems on the task of speculation detection and scope resolution. Further, we jointly train on multiple datasets and obtain improvements over the single dataset training approach on most datasets.
Contrary to results observed on benchmark GLUE tasks, we observe XLNet consistently outperforming RoBERTa. To confirm this observation, we apply these models to the negation detection and scope resolution task, and observe a continuity in this trend, reporting state-of-the-art results on three of four datasets on the negation scope resolution task.
The rest of the paper is organized as follows: In Section 2, we provide a detailed description of our methodology and elaborate on the experimentation details. In Section 3, we present our results and analysis on the speculation detection and scope resolution task, using the single dataset and the multiple dataset training approach. In Section 4, we show the results of applying XLNet and RoBERTa on negation detection and scope resolution and propose a few reasons to explain why XLNet performs better than RoBERTa. Finally, the future scope and conclusion is mentioned in Section 5.
",non_oracle_but_plausibly_relevant
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,5,1,Does RoBERTa outperform BERT?,no,"We use the methodology by Khandelwal and Sawant (BIBREF12), and modify it to support experimentation with multiple models.
For Speculation Cue Detection:
Input Sentence: It might rain tomorrow.
True Labels: Not-A-Cue, Cue, Not-A-Cue, Not-A-Cue.
First, this sentence is preprocessed to get the target labels as per the following annotation schema:
1 – Normal Cue 2 – Multiword Cue 3 – Not a cue 4 – Pad token
Thus, the preprocessed sequence is as follows:
Input Sentence: [It, might, rain, tomorrow]
True Labels: [3,1,3,3]
Then, we preprocess the input using the tokenizer for the model being used (BERT, XLNet or RoBERTa): splitting each word into one or more tokens, and converting each token to it’s corresponding tokenID, and padding it to the maximum input length of the model. Thus,
Input Sentence: [wtt(It), wtt(might), wtt(rain), wtt(tom), wtt(## or), wtt(## row), wtt(〈pad 〉),wtt(〈pad 〉)...]
True Labels: [3,1,",non_oracle_but_plausibly_relevant
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,5,1,Is the template-based model realistic?  ,yes,", we do the training in two consecutive phases, pretraining and fine tuning. Finally, BIBREF1 reported that while training with domain transfer outperformed training only on out-of-domain data, it was not able to beat training only on in-domain data. This is likely because their in and out-of-domain data sizes are comparable, unlike in our case of scarce in-domain data.
In a different approach to abstractive summarization, BIBREF11 developed a soft template based neural method consisting of an end-to-end deep model for template retrieval, reranking and summary rewriting. While we also develop a template based model, our work differs in both model structure and purpose.
Data Synthesis. Data synthesis for text summarization is underexplored, with most prior work focusing on machine translation, and text normalization. BIBREF12 proposed doing data augmentation through word replacement, using WordNet BIBREF13 and vector space similarity, respectively. We will use a WordNet replacement method as a baseline synthesis method in the experiments described below. In contrast, BIBREF14 synthesized/augmented data through back-translation and word replacement using language models. BIBREF15 is another recent work that was done in parallel and is very close to",non_oracle_but_plausibly_relevant
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,18,3,Is the improvement over state-of-the-art statistically significant?,yes," to have more consistent translations than XNLI, which would in turn diminish this phenomenon. In contrast, the questions and context paragraphs are independently translated when using machine translation, which explains why BT-ES and BT-FI outperform Orig for the Translate-Test approach. We conclude that the translation artifacts revealed by our analysis are not exclusive to NLI, as they also show up on QA for the Translate-Test approach, but their actual impact can be highly dependent on the translation procedure used and the nature of the task.
Our analysis prompts to reconsider previous findings in cross-lingual transfer learning as follows:
Given the parallel nature of XNLI, accuracy differences across languages are commonly interpreted as the loss of performance when generalizing from English to the rest of languages. However, our work shows that there is another factor that can have a much larger impact: the loss of performance when generalizing from original to translated data. Our results suggest that the real cross-lingual generalization ability of XLM-R is considerably better than what the accuracy numbers in XNLI reflect.
The original motivation for Translate-Train was to train the model on the same language it is tested on. However, we show that it is training on translated data, rather than training on the target language",non_oracle_but_plausibly_relevant
hotpotqa,5a714b645542994082a3e78b,0,1,What year did Lindsey Broad star in the movie with Russell Brand and Jonah Hill?,2010,"The Russell Brand Show (radio show): The Russell Brand Show is a radio show first broadcast in 2006 on BBC Radio 6 Music.
The Russell Brand Show (radio show): The show's host is English comedian Russell Brand, who is usually joined his by co-host and long-term friend, Matt Morgan, as well as the show's poet laureate, Greg ""Mr Gee"" Sekweyama.
The Russell Brand Show (radio show): The show has also featured regular contributions from English musician Noel Gallagher, who has been described as an unofficial co-host.
Brand X with Russell Brand: Brand X with Russell Brand was an American late-night talk show, stand up comedy television series that premiered on FX on June 28, 2012, starring English comedian Russell Brand and created by Brand and Troy Miller.
Brand X with Russell Brand: Its second season concluded on May 2, 2013.
Brand X with Russell Brand: On June 6, 2013, FX announced that ""Brand X"" would not be renewed for a third season.
Brand X with Russell Brand: However, FX has reportedly picked up a scripted pilot starring Brand that will be loosely based on his life.
Christmas Wishes (The Office",false_semantic_closure
hotpotqa,5a84c4bb5542991dd0999dec,4,4,Who was involved in observing the natural progression of untreated syphilis in rural African-American men in Alabama?,John Charles Cutler,"philis present ""in utero"" and at birth, and occurs when a child is born to a mother with syphilis.
Congenital syphilis: Untreated early syphilis infections results in a high risk of poor pregnancy outcomes, including saddle nose, lower extremity abnormalities, miscarriages, premature births, stillbirths, or death in newborns.
Congenital syphilis: Some infants with congenital syphilis have symptoms at birth, but many develop symptoms later.
Congenital syphilis: Babies exposed ""in utero"" can have deformities, delays in development, or seizures along with many other problems such as rash, fever, an enlarged liver and spleen, anemia, and jaundice.
Congenital syphilis: Newborns will typically not develop a primary syphilitic chancre, but may present with signs of secondary syphilis (i.e. generalized body rash).
Congenital syphilis: Often these babies will develop syphilitic rhinitis (""snuffles""), the mucus from which is laden with the ""T. pallidum"" bacterium, and therefore highly infectious.
Congenital syphilis: Rarely, the symptoms of syphil",non_oracle_but_plausibly_relevant
hotpotqa,5ab7f97a5542991d322237ef,13,2,"What is Opry Mills in Nashville, Tennessee?",super-regional shopping mall," is an independent record label founded in 2002 and based in Nashville, Tennessee.
Infinity Cat Recordings: The label has released recordings from artists including JEFF the Brotherhood, Diarrhea Planet, Be Your Own Pet, Ed Schrader's Music Beat, and Daddy Issues.
Infinity Cat Recordings: In 2011, the label was highlighted by British publication The Guardian, which wrote ""forget the Grand Ole Opry; there are more thrilling new bands in East Nashville than anywhere else on earth [and] so many of their records have been released on the same label, Infinity Cat.""
Bradley Gaskin: Bradley Gaskin (born in Gadsden, Alabama) is an American country music singer-songwriter.
Bradley Gaskin: He signed with Columbia Nashville in 2011 and has released his debut single, ""Mr. Bartender"" after being discovered through a talent contest sponsored by John Rich.
Bradley Gaskin: At the time, Gaskin had been working for his father hanging sheetrock.
Bradley Gaskin: The song entered the Hot Country Songs charts at number 51 on the chart dated for the week ending April 2, 2011.
Brad",false_semantic_closure
hotpotqa,5abbd4035542993f40c73bcb,0,1,"""Show 'Em (What You're Made Of)"" is a song written by a group of people including an American singer/songwriter who was inducted into what on April 10, 2015?",Kentucky Music Hall of Fame,"Set 'Em Up Joe: ""Set 'Em Up Joe"" is a song co-written and recorded by American country music artist Vern Gosdin.
Set 'Em Up Joe: It was released in April 1988 as the second single from the album ""Chiseled in Stone"".
Set 'Em Up Joe: ""Set 'Em Up Joe"" was a tribute song to Ernest Tubb and was Vern Gosdin's second number one on the country chart.
Set 'Em Up Joe: The single went to number one for one week and spent a total of fifteen weeks within the Top 40.
Set 'Em Up Joe: In 2010, this song was covered by Jamey Johnson on his album ""The Guitar Song"".
Set 'Em Up Joe: Gosdin wrote the song with Dean Dillon, Buddy Cannon and Hank Cochran.
Pokémon Theme: The ""Pokémon Theme"" (also known as ""Gotta Catch 'Em All"") is a song written by John Siegler and John Loeffler and performed by Jason Paige.
Pokémon Theme: It was the theme song for the first season of the English adaptation of the ""Pokémon"" anime.
Pokémon Theme: Since its release, the song has been virtually synonymous with",false_semantic_closure
hotpotqa,5abbd4035542993f40c73bcb,5,1,"""Show 'Em (What You're Made Of)"" is a song written by a group of people including an American singer/songwriter who was inducted into what on April 10, 2015?",Kentucky Music Hall of Fame,", ""Late Nights"".
Don't Tell 'Em: It features American rapper YG, and was released as the first single from the album.
Don't Tell 'Em: The song peaked at number six on the ""Billboard"" Hot 100.
Don't Tell 'Em: Outside the United States, ""Don't Tell 'Em"" peaked within the top ten of the charts in the United Kingdom, as well as the top twenty of the charts in Australia and Belgium.
Heard 'Em Say: ""Heard 'Em Say"" is a song by American hip-hop artist Kanye West.
Heard 'Em Say: It was released on November 8, 2005 as the third single for his second studio album, ""Late Registration"".
Heard 'Em Say: The song features Maroon 5 lead singer Adam Levine, who sings the chorus and bridge.
Heard 'Em Say: West co-produced the track with Jon Brion, and it contains excerpts from ""Someone That I Used to Love"" as performed by Natalie Cole.
Heard 'Em Say: The song was met by acclaim from contemporary music critics and is often seen as one of West's best.
Heard 'Em Say: The refrain of ""Heard 'Em",false_semantic_closure
hotpotqa,5abce85755429959677d6b3e,3,1,Le Rêve was created by the director behind what Cirque du Soleil production from 1998 onward?,O,".
Anna Stankus: Since first beginning her career in 2007, she has gone on to perform in many productions worldwide including for Cirque du Soleil, Cirque Le Noir, Franco Dragone shows and in various variety shows in her hometown of Las Vegas.
Isabela Moraes: Isabela Moraes (born 5 April 1980) is a former synchronized swimmer from Brazil.
Isabela Moraes: She competed in the women's duet competition with her twin sister, Carolina Moraes, at both the 2000 and 2004 Summer Olympics .
Isabela Moraes: Both also competed for Ohio State University, winning 11 national championships, including the team routine title in 2000, and four straight titles in duet and trio routines between 1999 and 2002.
Isabela Moraes: Following the Olympics, Carolina and Isabela retired and joined Cirque du Soleil, with their first performance being as part of the 2005 World Aquatics Championships opening ceremony.
Isabela Moraes: Isabela has been since 2007 part of ""Le Rêve"", a show",non_oracle_but_plausibly_relevant
hotpotqa,5adc3aff5542996e685252eb,3,2,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi," was filmed in Mumbai and Mauritius.
Woodstock Villa: The film, which was released in India on 30 May 2008, had a poor box office opening but earned mostly good reviews.
Woodstock Villa: Sanjay Dutt and Saif Ali Khan have cameo appearances.
Woodstock Villa: The plot is a loose adaptation of the 2003 Japanese thriller ""Game"" which also went on to be remade in Tamil in 2014 as ""Sarabham""
Juano Hernandez: Juano Hernández (July 19, 1896 – July 17, 1970) was an Afro-Puerto Rican stage and film actor who was a pioneer in the African American film industry.
Juano Hernandez: He made his silent debut in ""The Life of General Villa"", and talking picture debut in an Oscar Micheaux film, ""The Girl from Chicago"", which was directed at black audiences.
Juano Hernandez: Hernández also performed in a series of dramatic roles in mainstream Hollywood movies.
Juano Hernandez: His participation in the film ""Intruder in the Dust"" (1949) earned him a Golden Globe Award nomination for ""New Star of the Year.""
",false_semantic_closure
hotpotqa,5ae6143f5542996de7b71b2d,0,2,What film did Lela Rochon based on a John Grisham novel?,The Chamber,"List of The Firm episodes: ""The Firm"" is a legal-drama television series, created by Lukas Reiter for NBC, Global and AXN, that is adapted as a sequel to the 1991 John Grisham novel of the same name and its 1993 film adaptation in the Washington Metropolitan Area.
List of The Firm episodes: The television adaptation is set ten years after the novel and film.
List of The Firm episodes: It is executive produced by John Grisham, John Morayniss, Michael Rosenberg, Noreen Halpern, and Reiter.
List of The Firm episodes: It premiered in Canada and the U.S. as a two-hour special on January 8, 2012 and assumed its regular time slot on January 12, 2012, replacing ""Prime Suspect"" in the Thursday night lineup of both Global and NBC.
List of The Firm episodes: The series premiered on AXN on February 19, 2012.
Lela Rochon: Lela Rochon (born Lela Rochon Staples; April 17, 1964) is an American actress, best known for her breakthrough role as Robin Stokes in",non_oracle_but_plausibly_relevant
