tokenizer,target,perturbation,mode,stop_token_strategy,rank,top1,recall_at_4,query_ms,candidate_rows
qwen3_0_6b,7,typo,cascade,idf,8,0,0,196.23019988648593,60
qwen3_0_6b,7,abbreviation,token_exact,idf,1,1,1,161.87519999220967,63
qwen3_0_6b,7,abbreviation,token_ngram,idf,1,1,1,150.26209992356598,63
qwen3_0_6b,7,abbreviation,token_edit,idf,8,0,0,155.28329997323453,63
qwen3_0_6b,7,abbreviation,token_approx,idf,8,0,0,150.61630005948246,63
qwen3_0_6b,7,abbreviation,token_weighted,none,8,0,0,151.81319997645915,63
qwen3_0_6b,7,abbreviation,token_weighted,fixed,8,0,0,164.82069995254278,63
qwen3_0_6b,7,abbreviation,token_weighted,idf,8,0,0,153.71609991416335,63
qwen3_0_6b,7,abbreviation,cascade,none,1,1,1,190.81489997915924,63
qwen3_0_6b,7,abbreviation,cascade,fixed,1,1,1,258.3306001033634,63
qwen3_0_6b,7,abbreviation,cascade,idf,1,1,1,137.1516000945121,63
qwen3_0_6b,7,identifier_alias,token_exact,idf,1,1,1,298.263399861753,63
qwen3_0_6b,7,identifier_alias,token_ngram,idf,1,1,1,201.4111999887973,63
qwen3_0_6b,7,identifier_alias,token_edit,idf,8,0,0,191.85990002006292,63
qwen3_0_6b,7,identifier_alias,token_approx,idf,8,0,0,210.55259997956455,63
qwen3_0_6b,7,identifier_alias,token_weighted,none,8,0,0,315.1155000086874,63
qwen3_0_6b,7,identifier_alias,token_weighted,fixed,8,0,0,219.82840006239712,63
qwen3_0_6b,7,identifier_alias,token_weighted,idf,8,0,0,196.64689991623163,63
qwen3_0_6b,7,identifier_alias,cascade,none,1,1,1,194.72940010018647,63
qwen3_0_6b,7,identifier_alias,cascade,fixed,1,1,1,214.0238001011312,63
qwen3_0_6b,7,identifier_alias,cascade,idf,1,1,1,319.1662998870015,63
qwen3_0_6b,7,stop_insertion,token_exact,idf,1,1,1,227.06690011546016,63
qwen3_0_6b,7,stop_insertion,token_ngram,idf,1,1,1,203.21030006743968,63
qwen3_0_6b,7,stop_insertion,token_edit,idf,8,0,0,254.01550019159913,63
qwen3_0_6b,7,stop_insertion,token_approx,idf,8,0,0,232.92390001006424,63
qwen3_0_6b,7,stop_insertion,token_weighted,none,8,0,0,188.6052000336349,63
qwen3_0_6b,7,stop_insertion,token_weighted,fixed,8,0,0,222.16399991884828,63
qwen3_0_6b,7,stop_insertion,token_weighted,idf,8,0,0,293.14969992265105,63
qwen3_0_6b,7,stop_insertion,cascade,none,1,1,1,227.6268000714481,63
qwen3_0_6b,7,stop_insertion,cascade,fixed,1,1,1,241.5173000190407,63
qwen3_0_6b,7,stop_insertion,cascade,idf,1,1,1,225.80370004288852,63
qwen3_0_6b,7,unicode_fullwidth_nfkc,token_exact,idf,8,0,0,484.2471000738442,60
qwen3_0_6b,7,unicode_fullwidth_nfkc,token_ngram,idf,8,0,0,452.4006999563426,60
qwen3_0_6b,7,unicode_fullwidth_nfkc,token_edit,idf,1,1,1,503.2599999103695,60
qwen3_0_6b,7,unicode_fullwidth_nfkc,token_approx,idf,1,1,1,427.9899001121521,60
qwen3_0_6b,7,unicode_fullwidth_nfkc,token_weighted,none,1,1,1,473.56610000133514,60
qwen3_0_6b,7,unicode_fullwidth_nfkc,token_weighted,fixed,1,1,1,434.98250003904104,60
qwen3_0_6b,7,unicode_fullwidth_nfkc,token_weighted,idf,1,1,1,502.70939990878105,60
qwen3_0_6b,7,unicode_fullwidth_nfkc,cascade,none,1,1,1,444.19809989631176,60
qwen3_0_6b,7,unicode_fullwidth_nfkc,cascade,fixed,1,1,1,476.0529000777751,60
qwen3_0_6b,7,unicode_fullwidth_nfkc,cascade,idf,1,1,1,456.22429996728897,60
qwen3_0_6b,7,unicode_math_nfkc,token_exact,idf,8,0,0,481.3409000635147,60
qwen3_0_6b,7,unicode_math_nfkc,token_ngram,idf,8,0,0,572.4212999921292,60
qwen3_0_6b,7,unicode_math_nfkc,token_edit,idf,1,1,1,548.1875000987202,60
qwen3_0_6b,7,unicode_math_nfkc,token_approx,idf,1,1,1,535.6702001299709,60
qwen3_0_6b,7,unicode_math_nfkc,token_weighted,none,1,1,1,476.33650014176965,60
qwen3_0_6b,7,unicode_math_nfkc,token_weighted,fixed,1,1,1,528.2592000439763,60
qwen3_0_6b,7,unicode_math_nfkc,token_weighted,idf,1,1,1,514.1978999599814,60
qwen3_0_6b,7,unicode_math_nfkc,cascade,none,1,1,1,519.8149001225829,60
qwen3_0_6b,7,unicode_math_nfkc,cascade,fixed,1,1,1,556.8275998812169,60
qwen3_0_6b,7,unicode_math_nfkc,cascade,idf,1,1,1,467.37690013833344,60
qwen3_0_6b,41,clean,token_exact,idf,1,1,1,227.74769994430244,64
qwen3_0_6b,41,clean,token_ngram,idf,1,1,1,244.77450014092028,64
qwen3_0_6b,41,clean,token_edit,idf,33,0,0,212.6949999947101,64
qwen3_0_6b,41,clean,token_approx,idf,33,0,0,203.791500069201,64
qwen3_0_6b,41,clean,token_weighted,none,33,0,0,210.3878001216799,64
qwen3_0_6b,41,clean,token_weighted,fixed,33,0,0,201.37979998253286,64
qwen3_0_6b,41,clean,token_weighted,idf,33,0,0,260.4730997700244,64
qwen3_0_6b,41,clean,cascade,none,1,1,1,213.06750015355647,64
qwen3_0_6b,41,clean,cascade,fixed,1,1,1,200.77030011452734,64
qwen3_0_6b,41,clean,cascade,idf,1,1,1,208.92379991710186,64
qwen3_0_6b,41,case,token_exact,idf,1,1,1,266.40540012158453,64
qwen3_0_6b,41,case,token_ngram,idf,1,1,1,196.20970007963479,64
qwen3_0_6b,41,case,token_edit,idf,33,0,0,190.50260004587471,64
qwen3_0_6b,41,case,token_approx,idf,33,0,0,300.8236000314355,64
qwen3_0_6b,41,case,token_weighted,none,33,0,0,181.6379998344928,64
qwen3_0_6b,41,case,token_weighted,fixed,33,0,0,205.49329998902977,64
qwen3_0_6b,41,case,token_weighted,idf,33,0,0,213.24559999629855,64
qwen3_0_6b,41,case,cascade,none,1,1,1,201.02979987859726,64
qwen3_0_6b,41,case,cascade,fixed,1,1,1,208.6656999308616,64
qwen3_0_6b,41,case,cascade,idf,1,1,1,192.41929985582829,64
qwen3_0_6b,41,leading_space,token_exact,idf,1,1,1,232.28190001100302,64
qwen3_0_6b,41,leading_space,token_ngram,idf,1,1,1,238.4526999667287,64
qwen3_0_6b,41,leading_space,token_edit,idf,33,0,0,213.3971001021564,64
qwen3_0_6b,41,leading_space,token_approx,idf,33,0,0,206.15830016322434,64
qwen3_0_6b,41,leading_space,token_weighted,none,33,0,0,208.78179999999702,64
qwen3_0_6b,41,leading_space,token_weighted,fixed,33,0,0,211.01159998215735,64
qwen3_0_6b,41,leading_space,token_weighted,idf,33,0,0,210.82290005870163,64
qwen3_0_6b,41,leading_space,cascade,none,1,1,1,250.2331999130547,64
qwen3_0_6b,41,leading_space,cascade,fixed,1,1,1,206.75719995051622,64
qwen3_0_6b,41,leading_space,cascade,idf,1,1,1,195.67060004919767,64
qwen3_0_6b,41,punctuation,token_exact,idf,1,1,1,214.67089978978038,64
qwen3_0_6b,41,punctuation,token_ngram,idf,1,1,1,216.02139994502068,64
qwen3_0_6b,41,punctuation,token_edit,idf,33,0,0,217.14510000310838,64
qwen3_0_6b,41,punctuation,token_approx,idf,33,0,0,211.00659994408488,64
qwen3_0_6b,41,punctuation,token_weighted,none,33,0,0,200.79419994726777,64
qwen3_0_6b,41,punctuation,token_weighted,fixed,33,0,0,209.90250003524125,64
qwen3_0_6b,41,punctuation,token_weighted,idf,33,0,0,215.45749995857477,64
qwen3_0_6b,41,punctuation,cascade,none,1,1,1,223.7211000174284,64
qwen3_0_6b,41,punctuation,cascade,fixed,1,1,1,232.52679989673197,64
qwen3_0_6b,41,punctuation,cascade,idf,1,1,1,204.78859986178577,64
qwen3_0_6b,41,hyphenation,token_exact,idf,1,1,1,258.74439999461174,64
qwen3_0_6b,41,hyphenation,token_ngram,idf,1,1,1,240.75579992495477,64
qwen3_0_6b,41,hyphenation,token_edit,idf,2,0,1,242.686300072819,64
qwen3_0_6b,41,hyphenation,token_approx,idf,2,0,1,235.15719990245998,64
qwen3_0_6b,41,hyphenation,token_weighted,none,2,0,1,235.96860002726316,64
qwen3_0_6b,41,hyphenation,token_weighted,fixed,2,0,1,214.63279984891415,64
qwen3_0_6b,41,hyphenation,token_weighted,idf,2,0,1,227.68669994547963,64
qwen3_0_6b,41,hyphenation,cascade,none,1,1,1,229.68230000697076,64
qwen3_0_6b,41,hyphenation,cascade,fixed,1,1,1,238.1965999957174,64
qwen3_0_6b,41,hyphenation,cascade,idf,1,1,1,352.80310013331473,64
qwen3_0_6b,41,concatenation,token_exact,idf,1,1,1,201.24189998023212,64
qwen3_0_6b,41,concatenation,token_ngram,idf,1,1,1,192.56490003317595,64
qwen3_0_6b,41,concatenation,token_edit,idf,33,0,0,215.98109998740256,64
qwen3_0_6b,41,concatenation,token_approx,idf,33,0,0,276.34520013816655,64
qwen3_0_6b,41,concatenation,token_weighted,none,33,0,0,214.66180006973445,64
qwen3_0_6b,41,concatenation,token_weighted,fixed,33,0,0,207.95950014144182,64
qwen3_0_6b,41,concatenation,token_weighted,idf,33,0,0,272.2879000939429,64
qwen3_0_6b,41,concatenation,cascade,none,1,1,1,207.86379999481142,64
qwen3_0_6b,41,concatenation,cascade,fixed,1,1,1,191.9984999112785,64
qwen3_0_6b,41,concatenation,cascade,idf,1,1,1,192.63109983876348,64
qwen3_0_6b,41,split,token_exact,idf,1,1,1,243.35210002027452,64
qwen3_0_6b,41,split,token_ngram,idf,1,1,1,233.10549999587238,64
qwen3_0_6b,41,split,token_edit,idf,1,1,1,241.63409997709095,64
qwen3_0_6b,41,split,token_approx,idf,1,1,1,233.08190004900098,64
qwen3_0_6b,41,split,token_weighted,none,1,1,1,236.63810011930764,64
qwen3_0_6b,41,split,token_weighted,fixed,1,1,1,230.21889990195632,64
qwen3_0_6b,41,split,token_weighted,idf,1,1,1,237.6977999228984,64
qwen3_0_6b,41,split,cascade,none,1,1,1,230.74390017427504,64
qwen3_0_6b,41,split,cascade,fixed,1,1,1,250.5681999027729,64
qwen3_0_6b,41,split,cascade,idf,1,1,1,249.8947000131011,64
qwen3_0_6b,41,typo,token_exact,idf,33,0,0,192.43609998375177,64
qwen3_0_6b,41,typo,token_ngram,idf,1,1,1,197.46670010499656,64
qwen3_0_6b,41,typo,token_edit,idf,33,0,0,190.22160000167787,64
qwen3_0_6b,41,typo,token_approx,idf,33,0,0,204.49230005033314,64
qwen3_0_6b,41,typo,token_weighted,none,33,0,0,194.88129997625947,64
qwen3_0_6b,41,typo,token_weighted,fixed,33,0,0,188.31950007006526,64
qwen3_0_6b,41,typo,token_weighted,idf,33,0,0,196.00840006023645,64
qwen3_0_6b,41,typo,cascade,none,1,1,1,191.37199991382658,64
qwen3_0_6b,41,typo,cascade,fixed,1,1,1,204.26749996840954,64
qwen3_0_6b,41,typo,cascade,idf,1,1,1,233.42459998093545,64
qwen3_0_6b,41,abbreviation,token_exact,idf,1,1,1,207.6696997974068,64
qwen3_0_6b,41,abbreviation,token_ngram,idf,1,1,1,198.7801999785006,64
qwen3_0_6b,41,abbreviation,token_edit,idf,33,0,0,180.51410000771284,64
qwen3_0_6b,41,abbreviation,token_approx,idf,33,0,0,219.07839993946254,64
qwen3_0_6b,41,abbreviation,token_weighted,none,33,0,0,210.11570002883673,64
qwen3_0_6b,41,abbreviation,token_weighted,fixed,33,0,0,191.95620017126203,64
qwen3_0_6b,41,abbreviation,token_weighted,idf,33,0,0,210.9135000500828,64
qwen3_0_6b,41,abbreviation,cascade,none,1,1,1,206.49360003881156,64
qwen3_0_6b,41,abbreviation,cascade,fixed,1,1,1,197.19920004718006,64
qwen3_0_6b,41,abbreviation,cascade,idf,1,1,1,204.30839993059635,64
qwen3_0_6b,41,identifier_alias,token_exact,idf,1,1,1,220.17630003392696,63
qwen3_0_6b,41,identifier_alias,token_ngram,idf,1,1,1,233.42210007831454,63
qwen3_0_6b,41,identifier_alias,token_edit,idf,34,0,0,227.1016000304371,63
qwen3_0_6b,41,identifier_alias,token_approx,idf,34,0,0,236.33039998821914,63
qwen3_0_6b,41,identifier_alias,token_weighted,none,34,0,0,291.426399955526,63
qwen3_0_6b,41,identifier_alias,token_weighted,fixed,34,0,0,225.22570006549358,63
qwen3_0_6b,41,identifier_alias,token_weighted,idf,34,0,0,251.96249992586672,63
qwen3_0_6b,41,identifier_alias,cascade,none,1,1,1,238.16920001991093,63
qwen3_0_6b,41,identifier_alias,cascade,fixed,1,1,1,232.4997999239713,63
qwen3_0_6b,41,identifier_alias,cascade,idf,1,1,1,261.3251998554915,63
qwen3_0_6b,41,stop_insertion,token_exact,idf,1,1,1,264.82669985853136,64
qwen3_0_6b,41,stop_insertion,token_ngram,idf,1,1,1,270.3015999868512,64
qwen3_0_6b,41,stop_insertion,token_edit,idf,33,0,0,281.5482998266816,64
qwen3_0_6b,41,stop_insertion,token_approx,idf,33,0,0,280.10720014572144,64
qwen3_0_6b,41,stop_insertion,token_weighted,none,33,0,0,272.17460004612803,64
qwen3_0_6b,41,stop_insertion,token_weighted,fixed,33,0,0,263.2912998087704,64
qwen3_0_6b,41,stop_insertion,token_weighted,idf,33,0,0,286.32750012911856,64
qwen3_0_6b,41,stop_insertion,cascade,none,1,1,1,266.111999982968,64
qwen3_0_6b,41,stop_insertion,cascade,fixed,1,1,1,257.5411999132484,64
qwen3_0_6b,41,stop_insertion,cascade,idf,1,1,1,250.2563998568803,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,token_exact,idf,1,1,1,512.3206002172083,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,token_ngram,idf,1,1,1,498.18139988929033,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,token_edit,idf,1,1,1,510.6345999520272,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,token_approx,idf,1,1,1,466.72139992006123,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,token_weighted,none,1,1,1,500.977799994871,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,token_weighted,fixed,1,1,1,471.1486999876797,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,token_weighted,idf,1,1,1,470.50900012254715,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,cascade,none,1,1,1,483.88600000180304,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,cascade,fixed,1,1,1,484.40439999103546,64
qwen3_0_6b,41,unicode_fullwidth_nfkc,cascade,idf,1,1,1,484.76050002500415,64
qwen3_0_6b,41,unicode_math_nfkc,token_exact,idf,1,1,1,555.9408999979496,64
qwen3_0_6b,41,unicode_math_nfkc,token_ngram,idf,1,1,1,559.6302000340074,64
qwen3_0_6b,41,unicode_math_nfkc,token_edit,idf,1,1,1,562.1577000711113,64
qwen3_0_6b,41,unicode_math_nfkc,token_approx,idf,1,1,1,545.1449998654425,64
qwen3_0_6b,41,unicode_math_nfkc,token_weighted,none,1,1,1,625.8652000688016,64
qwen3_0_6b,41,unicode_math_nfkc,token_weighted,fixed,1,1,1,550.7825999520719,64
qwen3_0_6b,41,unicode_math_nfkc,token_weighted,idf,1,1,1,563.4506000205874,64
qwen3_0_6b,41,unicode_math_nfkc,cascade,none,1,1,1,573.9033001009375,64
qwen3_0_6b,41,unicode_math_nfkc,cascade,fixed,1,1,1,596.2218001950532,64
qwen3_0_6b,41,unicode_math_nfkc,cascade,idf,1,1,1,541.1398999858648,64
qwen3_0_6b,173,clean,token_exact,idf,1,1,1,363.40299993753433,63
qwen3_0_6b,173,clean,token_ngram,idf,1,1,1,237.7814999781549,63
qwen3_0_6b,173,clean,token_edit,idf,35,0,0,253.43640008941293,63
qwen3_0_6b,173,clean,token_approx,idf,35,0,0,230.30850011855364,63
qwen3_0_6b,173,clean,token_weighted,none,35,0,0,220.31609993427992,63
qwen3_0_6b,173,clean,token_weighted,fixed,35,0,0,232.42420004680753,63
qwen3_0_6b,173,clean,token_weighted,idf,35,0,0,263.3456999901682,63
qwen3_0_6b,173,clean,cascade,none,1,1,1,232.11400001309812,63
qwen3_0_6b,173,clean,cascade,fixed,1,1,1,237.96569998376071,63
qwen3_0_6b,173,clean,cascade,idf,1,1,1,251.99629995040596,63
qwen3_0_6b,173,case,token_exact,idf,1,1,1,230.18729989416897,63
qwen3_0_6b,173,case,token_ngram,idf,1,1,1,256.2043000943959,63
qwen3_0_6b,173,case,token_edit,idf,33,0,0,308.3610001485795,63
qwen3_0_6b,173,case,token_approx,idf,33,0,0,220.82579997368157,63
qwen3_0_6b,173,case,token_weighted,none,33,0,0,243.840399896726,63
qwen3_0_6b,173,case,token_weighted,fixed,33,0,0,267.1111000236124,63
qwen3_0_6b,173,case,token_weighted,idf,33,0,0,243.81139990873635,63
qwen3_0_6b,173,case,cascade,none,1,1,1,256.84989988803864,63
qwen3_0_6b,173,case,cascade,fixed,1,1,1,303.3990999683738,63
qwen3_0_6b,173,case,cascade,idf,1,1,1,289.187700022012,63
qwen3_0_6b,173,leading_space,token_exact,idf,1,1,1,332.68000022508204,63
qwen3_0_6b,173,leading_space,token_ngram,idf,1,1,1,335.04989999346435,63
qwen3_0_6b,173,leading_space,token_edit,idf,35,0,0,271.6186000034213,63
qwen3_0_6b,173,leading_space,token_approx,idf,35,0,0,267.7087998017669,63
qwen3_0_6b,173,leading_space,token_weighted,none,35,0,0,220.72049998678267,63
qwen3_0_6b,173,leading_space,token_weighted,fixed,35,0,0,226.29350004717708,63
qwen3_0_6b,173,leading_space,token_weighted,idf,35,0,0,288.22690015658736,63
qwen3_0_6b,173,leading_space,cascade,none,1,1,1,228.1522999983281,63
qwen3_0_6b,173,leading_space,cascade,fixed,1,1,1,279.4590999837965,63
qwen3_0_6b,173,leading_space,cascade,idf,1,1,1,272.07789989188313,63
qwen3_0_6b,173,punctuation,token_exact,idf,1,1,1,235.69949995726347,63
qwen3_0_6b,173,punctuation,token_ngram,idf,1,1,1,310.7376000843942,63
qwen3_0_6b,173,punctuation,token_edit,idf,35,0,0,229.22650002874434,63
qwen3_0_6b,173,punctuation,token_approx,idf,35,0,0,230.96629977226257,63
qwen3_0_6b,173,punctuation,token_weighted,none,35,0,0,289.1586998011917,63
qwen3_0_6b,173,punctuation,token_weighted,fixed,35,0,0,233.0445998813957,63
qwen3_0_6b,173,punctuation,token_weighted,idf,35,0,0,243.64920007064939,63
qwen3_0_6b,173,punctuation,cascade,none,1,1,1,319.6656999643892,63
qwen3_0_6b,173,punctuation,cascade,fixed,1,1,1,268.5475000180304,63
qwen3_0_6b,173,punctuation,cascade,idf,1,1,1,228.61979994922876,63
qwen3_0_6b,173,hyphenation,token_exact,idf,1,1,1,295.9956000559032,63
qwen3_0_6b,173,hyphenation,token_ngram,idf,1,1,1,278.16500002518296,63
qwen3_0_6b,173,hyphenation,token_edit,idf,12,0,0,288.4156999643892,63
qwen3_0_6b,173,hyphenation,token_approx,idf,12,0,0,291.26490000635386,63
qwen3_0_6b,173,hyphenation,token_weighted,none,12,0,0,247.58480000309646,63
qwen3_0_6b,173,hyphenation,token_weighted,fixed,12,0,0,313.8725000899285,63
qwen3_0_6b,173,hyphenation,token_weighted,idf,12,0,0,255.42069994844496,63
qwen3_0_6b,173,hyphenation,cascade,none,1,1,1,273.205199977383,63
qwen3_0_6b,173,hyphenation,cascade,fixed,1,1,1,260.7394999358803,63
qwen3_0_6b,173,hyphenation,cascade,idf,1,1,1,283.1550999544561,63
qwen3_0_6b,173,concatenation,token_exact,idf,1,1,1,244.71060000360012,63
qwen3_0_6b,173,concatenation,token_ngram,idf,1,1,1,374.6922998689115,63
qwen3_0_6b,173,concatenation,token_edit,idf,35,0,0,213.4267999790609,63
qwen3_0_6b,173,concatenation,token_approx,idf,35,0,0,264.84999991953373,63
qwen3_0_6b,173,concatenation,token_weighted,none,35,0,0,233.58539980836213,63
qwen3_0_6b,173,concatenation,token_weighted,fixed,35,0,0,217.33440016396344,63
qwen3_0_6b,173,concatenation,token_weighted,idf,35,0,0,264.63330001570284,63
qwen3_0_6b,173,concatenation,cascade,none,1,1,1,255.86030003614724,63
qwen3_0_6b,173,concatenation,cascade,fixed,1,1,1,234.46760000661016,63
qwen3_0_6b,173,concatenation,cascade,idf,1,1,1,250.21809991449118,63
qwen3_0_6b,173,split,token_exact,idf,1,1,1,278.80539977923036,64
qwen3_0_6b,173,split,token_ngram,idf,1,1,1,264.2665000166744,64
qwen3_0_6b,173,split,token_edit,idf,2,0,1,282.02250017784536,64
qwen3_0_6b,173,split,token_approx,idf,2,0,1,247.18009983189404,64
qwen3_0_6b,173,split,token_weighted,none,2,0,1,274.6604001149535,64
qwen3_0_6b,173,split,token_weighted,fixed,2,0,1,302.7018001303077,64
qwen3_0_6b,173,split,token_weighted,idf,2,0,1,242.17960005626082,64
qwen3_0_6b,173,split,cascade,none,1,1,1,305.95539999194443,64
qwen3_0_6b,173,split,cascade,fixed,1,1,1,299.03919994831085,64
qwen3_0_6b,173,split,cascade,idf,1,1,1,247.26620013825595,64
qwen3_0_6b,173,typo,token_exact,idf,1,1,1,268.89050006866455,64
qwen3_0_6b,173,typo,token_ngram,idf,1,1,1,231.08629998750985,64
qwen3_0_6b,173,typo,token_edit,idf,33,0,0,220.57710005901754,64
qwen3_0_6b,173,typo,token_approx,idf,33,0,0,290.3076000511646,64
